HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Diamond SN 124596
Project run number,12
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,124596
Manufacturer,PTW
Model,Micro Diamond
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.855,[pA]
Reference detector,-0.894,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-02T16:08:24.3750878-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,4.98,[cm]
Field size inline,4.98,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-3.5,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,3.5,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,70000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.009404,[cm]
Calculated field width,5.072391,[cm]
Calculated penumbra left,0.487332,[cm]
Calculated penumbra right,0.488878,[cm]
Calculated symmetry,0.600,[%]
Normalisation factor,0.203270,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0011,-3.4495,-5.0015,4.325,
-0.0005,-3.3496,-5.0028,4.749,
-0.0003,-3.2497,-5.0028,5.374,
-0.0002,-3.1499,-5.0028,6.168,
-0.0002,-3.0498,-5.0028,7.616,
-0.0002,-2.9496,-5.0028,9.821,
0,-2.8497,-5.0028,14.064,
0.0002,-2.7499,-5.0028,20.926,
0.0004,-2.6497,-5.0028,31.843,
0.0005,-2.5498,-5.0028,46.491,
0.0007,-2.45,-5.0028,61.712,
0.0008,-2.3498,-5.0028,73.834,
0.001,-2.2496,-5.0029,82.210,
0.0011,-2.1497,-5.0029,87.282,
0.0013,-2.0499,-5.0029,90.621,
0.0014,-1.9498,-5.0029,92.546,
0.0015,-1.8496,-5.0029,94.133,
0.0015,-1.7497,-5.0029,94.776,
0.0017,-1.6498,-5.0029,95.543,
0.0018,-1.5496,-5.0029,96.063,
0.0018,-1.4497,-5.0029,96.760,
0.0018,-1.3499,-5.0029,97.025,
0.0018,-1.2497,-5.0029,97.492,
0.002,-1.1496,-5.0029,97.843,
0.0021,-1.0498,-5.0029,97.958,
0.002,-0.95,-5.0029,98.100,
0.002,-0.8498,-5.0028,98.723,
0.002,-0.7497,-5.0027,98.817,
0.0019,-0.6496,-5.0027,99.182,
0.0019,-0.5497,-5.0026,99.240,
0.0018,-0.4499,-5.0026,99.286,
0.0018,-0.3498,-5.0025,99.307,
0.0018,-0.2496,-5.0024,99.854,
0.0017,-0.1497,-5.0024,100.000,
0.0017,-0.0499,-5.0023,99.496,
0.0016,0.0502,-5.0022,99.813,
0.0016,0.1504,-5.0022,99.589,
0.0016,0.2503,-5.0021,99.280,
0.0015,0.3501,-5.0021,99.134,
0.0015,0.4502,-5.002,99.354,
0.0014,0.5503,-5.0019,99.434,
0.0014,0.6504,-5.0019,99.028,
0.0013,0.7503,-5.0018,98.757,
0.0013,0.8501,-5.0018,98.466,
0.0013,0.9502,-5.0017,98.253,
0.001,1.0504,-5.0016,98.089,
0.0009,1.1503,-5.0016,97.745,
0.0008,1.2501,-5.0015,97.351,
0.0008,1.3502,-5.0015,97.326,
0.0007,1.4504,-5.0014,96.622,
0.0009,1.5503,-5.0013,96.223,
0.001,1.6501,-5.0013,95.586,
0.0009,1.7502,-5.0012,95.119,
0.0009,1.8503,-5.0012,94.233,
0.0009,1.9502,-5.0011,92.920,
0.0008,2.05,-5.001,90.888,
0.0008,2.1501,-5.001,87.815,
0.0007,2.2502,-5.0009,83.059,
0.0007,2.3504,-5.0008,75.289,
0.0006,2.4503,-5.0008,64.110,
0.0006,2.5501,-5.0007,49.334,
0.0006,2.6502,-5.0007,34.125,
0.0005,2.7504,-5.0006,22.121,
0.0005,2.8503,-5.0005,14.586,
0.0004,2.9501,-5.0005,10.276,
0.0004,3.0502,-5.0004,7.805,
0.0004,3.1504,-5.0004,6.423,
0.0003,3.2503,-5.0003,5.549,
0.0003,3.35,-5.0002,5.003,
0.0002,3.4495,-5.0002,4.556,

Checksum:,C007C6926BE5E5678720D893DE21D5318BEAE407DC99282AFCDA875D7C5CFFAA
