HEADER
Header Length,86
Export file version,2.0

Warning,Some of the samples in this profile were acquired more than 0.250 mm away from the intended location. Max. deviation per axis X=0.559 mm, Y=0.071 mm, Z=0.001 mm.

Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Diamond SN 124596
Project run number,12
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,124596
Manufacturer,PTW
Model,Micro Diamond
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.855,[pA]
Reference detector,-0.894,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-02T16:26:28.2201798-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,9.96,[cm]
Field size inline,9.96,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,PDD
Profile status,Completed successfully
Start X,0,[cm]
Start Y,0,[cm]
Start Z,-11,[cm]
Stop X,0,[cm]
Stop Y,0,[cm]
Stop Z,0.1,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,111000,[µm]
Step size,1000,[µm]
Speed,320,[µm/s]
Integration time,3125,[ms]

Analysis result:
Analysis method,PDD standard
Calculated D10,63.359,[%]
Calculated D20,N.C.,[%]
DMax,1.541068,[cm]
Normalisation factor,0.164102,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0275,0.0033,-10.9501,59.659,
0.0559,0.0071,-10.85,60.040,
0.0556,0.007,-10.75,60.467,
0.055,0.0068,-10.65,60.748,
0.0544,0.0067,-10.55,61.080,
0.0539,0.0066,-10.45,61.564,
0.0533,0.0064,-10.35,61.970,
0.0528,0.0063,-10.2501,62.333,
0.0522,0.0062,-10.15,62.747,
0.0517,0.006,-10.05,63.152,
0.0511,0.0059,-9.95,63.567,
0.0506,0.0057,-9.85,63.810,
0.05,0.0056,-9.75,64.193,
0.0494,0.0055,-9.65,64.693,
0.0489,0.0053,-9.5501,64.937,
0.0483,0.0052,-9.45,65.476,
0.0478,0.005,-9.35,65.833,
0.0473,0.0049,-9.25,66.212,
0.047,0.0048,-9.15,66.548,
0.0464,0.0046,-9.05,67.095,
0.0459,0.0045,-8.95,67.422,
0.0452,0.0043,-8.85,67.781,
0.0444,0.0042,-8.75,68.166,
0.0439,0.0041,-8.65,68.562,
0.0433,0.0039,-8.55,69.081,
0.0428,0.0038,-8.45,69.581,
0.0422,0.0036,-8.35,70.049,
0.0417,0.0035,-8.25,70.310,
0.0411,0.0034,-8.1501,70.647,
0.0405,0.0032,-8.05,71.271,
0.04,0.0031,-7.95,71.523,
0.0394,0.0029,-7.8501,71.967,
0.0389,0.0028,-7.75,72.510,
0.0383,0.0027,-7.65,72.785,
0.0378,0.0025,-7.55,73.335,
0.0372,0.0024,-7.45,73.627,
0.0366,0.0022,-7.35,74.193,
0.0361,0.0021,-7.25,74.616,
0.0355,0.002,-7.15,75.156,
0.035,0.0018,-7.05,75.583,
0.0344,0.0017,-6.95,75.883,
0.0339,0.0016,-6.85,76.452,
0.0333,0.0014,-6.75,76.909,
0.0328,0.0013,-6.65,77.279,
0.0322,0.0011,-6.55,77.780,
0.0316,0.001,-6.45,78.238,
0.0311,0.0009,-6.35,78.664,
0.0305,0.0007,-6.25,79.148,
0.03,0.0006,-6.15,79.602,
0.0294,0.0004,-6.05,79.964,
0.0289,0.0003,-5.95,80.459,
0.0284,0.0003,-5.85,80.962,
0.0279,0.0002,-5.75,81.429,
0.0274,0.0002,-5.65,81.796,
0.027,0.0002,-5.55,82.338,
0.0265,0.0002,-5.45,82.801,
0.026,0.0002,-5.3501,83.331,
0.0255,0.0002,-5.25,83.626,
0.0251,0.0002,-5.15,84.214,
0.0246,0.0002,-5.05,84.671,
0.0241,0.0002,-4.95,85.003,
0.0236,0.0002,-4.85,85.575,
0.0232,0.0002,-4.7501,86.205,
0.0227,0.0002,-4.65,86.615,
0.0222,0.0001,-4.55,87.050,
0.0217,0.0001,-4.45,87.675,
0.0213,0.0001,-4.35,87.961,
0.0208,0.0001,-4.25,88.531,
0.0203,0.0001,-4.15,89.029,
0.0198,0.0001,-4.05,89.622,
0.0193,0.0001,-3.95,90.021,
0.0189,0.0001,-3.85,90.463,
0.0184,0.0001,-3.75,90.769,
0.0179,0.0001,-3.65,91.391,
0.0174,0.0001,-3.55,91.915,
0.017,0.0001,-3.45,92.288,
0.0165,0,-3.35,92.836,
0.016,0,-3.25,93.216,
0.0155,0,-3.15,93.917,
0.0151,0,-3.05,94.373,
0.0146,0,-2.95,94.788,
0.0141,0,-2.85,95.403,
0.0136,0,-2.75,95.778,
0.0131,0,-2.65,96.221,
0.0127,0,-2.55,96.636,
0.0122,0,-2.45,97.335,
0.0117,0,-2.35,97.577,
0.0112,0,-2.25,98.067,
0.0108,0,-2.15,98.471,
0.0103,-0.0001,-2.05,98.875,
0.0098,-0.0001,-1.95,99.103,
0.0093,-0.0001,-1.85,99.611,
0.0089,-0.0001,-1.75,99.768,
0.0084,-0.0001,-1.65,99.906,
0.0079,-0.0001,-1.55,100.000,
0.0074,-0.0001,-1.45,99.958,
0.007,-0.0001,-1.35,99.809,
0.0065,-0.0001,-1.25,99.311,
0.006,-0.0001,-1.15,98.597,
0.0055,-0.0001,-1.05,97.738,
0.005,-0.0001,-0.95,96.292,
0.0046,-0.0002,-0.85,94.336,
0.0041,-0.0002,-0.75,91.791,
0.0036,-0.0002,-0.65,88.454,
0.0031,-0.0002,-0.55,83.612,
0.0027,-0.0002,-0.45,77.707,
0.0022,-0.0002,-0.35,69.049,
0.0017,-0.0002,-0.25,56.956,
0.0012,-0.0002,-0.15,51.051,
0.0008,-0.0002,-0.05,51.163,
0.0003,-0.0002,0.05,51.338,

Checksum:,A15AC9AA177982D9775F142BD9911FCF12378943BD4CD2EEE3803309F4357FFB
