HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Diamond SN 124596
Project run number,12
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,124596
Manufacturer,PTW
Model,Micro Diamond
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.855,[pA]
Reference detector,-0.894,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-02T16:31:03.3429631-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,14.94,[cm]
Field size inline,14.94,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-8.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,8.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,170000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-3.685255,[cm]
Calculated field width,7.370509,[cm]
Calculated penumbra left,1.376835,[cm]
Calculated penumbra right,6.322099,[cm]
Calculated symmetry,17.917,[%]
Normalisation factor,0.186946,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-8.4511,-0.0008,-5.003,6.483,
-8.3498,-0.0011,-5.0059,7.051,
-8.2499,-0.0011,-5.0058,7.463,
-8.15,-0.0011,-5.0057,8.028,
-8.0499,-0.0011,-5.0057,8.708,
-7.9499,-0.0011,-5.0056,9.656,
-7.8498,-0.0012,-5.0055,11.052,
-7.7499,-0.0012,-5.0055,13.349,
-7.6499,-0.0012,-5.0054,17.905,
-7.5499,-0.0012,-5.0053,26.811,
-7.4499,-0.0012,-5.0053,39.837,
-7.3498,-0.0012,-5.0052,52.651,
-7.2499,-0.0012,-5.0051,61.778,
-7.1499,-0.0012,-5.005,67.596,
-7.0498,-0.0013,-5.005,71.251,
-6.9499,-0.0013,-5.0049,73.759,
-6.8499,-0.0013,-5.0048,75.284,
-6.7499,-0.0013,-5.0048,76.458,
-6.6499,-0.0013,-5.0047,77.351,
-6.5498,-0.0013,-5.0046,78.349,
-6.4499,-0.0013,-5.0046,78.889,
-6.3499,-0.0014,-5.0045,79.838,
-6.2499,-0.0014,-5.0044,79.997,
-6.1498,-0.0014,-5.0044,80.790,
-6.0498,-0.0014,-5.0043,81.162,
-5.9499,-0.0014,-5.0042,81.760,
-5.85,-0.0014,-5.0041,82.499,
-5.7499,-0.0014,-5.0041,83.045,
-5.6499,-0.0014,-5.004,83.199,
-5.5498,-0.0015,-5.0039,84.104,
-5.4499,-0.0015,-5.0039,84.300,
-5.3499,-0.0015,-5.0038,84.988,
-5.2498,-0.0015,-5.0037,85.457,
-5.1499,-0.0015,-5.0037,85.672,
-5.0498,-0.0015,-5.0036,86.085,
-4.9499,-0.0015,-5.0035,86.616,
-4.8499,-0.0016,-5.0035,87.240,
-4.7498,-0.0016,-5.0034,87.633,
-4.6499,-0.0016,-5.0033,88.058,
-4.55,-0.0016,-5.0032,88.344,
-4.45,-0.0016,-5.0032,89.003,
-4.3499,-0.0016,-5.0031,89.167,
-4.2499,-0.0016,-5.003,89.487,
-4.1499,-0.0016,-5.003,89.853,
-4.0498,-0.0017,-5.0029,90.561,
-3.9498,-0.0017,-5.0028,90.937,
-3.8499,-0.0017,-5.0028,90.988,
-3.7499,-0.0017,-5.0027,91.492,
-3.6498,-0.0017,-5.0026,91.709,
-3.5499,-0.0017,-5.0025,92.098,
-3.45,-0.0017,-5.0025,92.311,
-3.3499,-0.0018,-5.0024,92.980,
-3.2499,-0.0018,-5.0023,93.324,
-3.1498,-0.0018,-5.0023,93.458,
-3.0499,-0.0018,-5.0022,94.267,
-2.9499,-0.0018,-5.0021,95.212,
-2.8498,-0.0018,-5.0021,94.816,
-2.7499,-0.0018,-5.002,95.333,
-2.6498,-0.0019,-5.0019,95.414,
-2.5499,-0.0019,-5.0019,95.345,
-2.4499,-0.0019,-5.0018,96.079,
-2.3498,-0.0019,-5.0017,96.204,
-2.2499,-0.0019,-5.0016,96.594,
-2.1499,-0.0019,-5.0016,96.631,
-2.0499,-0.0019,-5.0015,96.741,
-1.9499,-0.0019,-5.0014,97.042,
-1.8498,-0.002,-5.0014,97.312,
-1.7498,-0.002,-5.0013,97.584,
-1.6498,-0.002,-5.0012,97.757,
-1.5499,-0.002,-5.0012,97.874,
-1.4499,-0.002,-5.0011,98.257,
