HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Diamond SN 124596
Project run number,12
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,124596
Manufacturer,PTW
Model,Micro Diamond
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.855,[pA]
Reference detector,-0.894,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-02T17:18:08.2462933-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,27.2,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-14.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,14.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,290000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.020243,[cm]
Calculated field width,26.756984,[cm]
Calculated penumbra left,6.583288,[cm]
Calculated penumbra right,7.289033,[cm]
Calculated symmetry,0.930,[%]
Normalisation factor,0.180838,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-14.4514,-0.0018,-5.0007,7.857,
-14.3498,-0.0033,-5.0015,8.369,
-14.2498,-0.0038,-5.0016,8.815,
-14.1498,-0.0037,-5.0018,9.513,
-14.0498,-0.0036,-5.002,10.498,
-13.9499,-0.0036,-5.0022,11.882,
-13.85,-0.0035,-5.0024,14.677,
-13.75,-0.0034,-5.0026,20.310,
-13.65,-0.0033,-5.0028,29.535,
-13.5499,-0.0032,-5.0029,39.857,
-13.4499,-0.0032,-5.0031,47.548,
-13.3499,-0.0031,-5.0033,52.340,
-13.25,-0.003,-5.0035,55.068,
-13.15,-0.0029,-5.0037,56.993,
-13.0499,-0.0028,-5.0039,58.108,
-12.9499,-0.0027,-5.0041,58.995,
-12.8499,-0.0027,-5.0042,59.622,
-12.7499,-0.0026,-5.0044,60.202,
-12.6498,-0.0025,-5.0046,60.648,
-12.5498,-0.0024,-5.0048,61.187,
-12.4499,-0.0023,-5.005,61.371,
-12.3499,-0.0023,-5.0052,61.890,
-12.2498,-0.0022,-5.0054,62.271,
-12.1498,-0.0021,-5.0055,62.750,
-12.0498,-0.002,-5.0057,63.057,
-11.9498,-0.0019,-5.0059,63.656,
-11.8499,-0.0019,-5.0061,63.849,
-11.75,-0.0018,-5.0063,64.367,
-11.65,-0.0017,-5.0065,64.642,
-11.55,-0.0016,-5.0067,65.207,
-11.4498,-0.0015,-5.0068,65.165,
-11.3499,-0.0015,-5.007,65.948,
-11.25,-0.0014,-5.0072,65.959,
-11.15,-0.0013,-5.0074,66.575,
-11.05,-0.0012,-5.0076,66.608,
-10.95,-0.0011,-5.0078,67.203,
-10.8499,-0.0011,-5.008,67.396,
-10.7499,-0.001,-5.0081,67.633,
-10.6499,-0.0009,-5.0083,67.943,
-10.5499,-0.0008,-5.0085,68.580,
-10.4499,-0.0007,-5.0087,68.655,
-10.3499,-0.0007,-5.0089,69.143,
