HEADER
Header Length,86
Export file version,2.0

Warning,Some of the samples in this profile were acquired more than 0.250 mm away from the intended location. Max. deviation per axis X=0.559 mm, Y=0.071 mm, Z=0.001 mm.

Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Diamond SN 124596
Project run number,10
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,124596
Manufacturer,PTW
Model,Micro Diamond
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.839,[pA]
Reference detector,-0.897,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-02T15:10:38.6640041-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,0.83,[cm]
Field size inline,0.83,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,PDD
Profile status,Completed successfully
Start X,0,[cm]
Start Y,0,[cm]
Start Z,-11,[cm]
Stop X,0,[cm]
Stop Y,0,[cm]
Stop Z,0.1,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,111000,[µm]
Step size,1000,[µm]
Speed,320,[µm/s]
Integration time,3125,[ms]

Analysis result:
Analysis method,PDD standard
Calculated D10,52.553,[%]
Calculated D20,N.C.,[%]
DMax,1.153567,[cm]
Normalisation factor,0.214270,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.027,0.0031,-10.9501,49.253,
0.0559,0.0071,-10.85,49.445,
0.0556,0.007,-10.75,49.820,
0.055,0.0068,-10.65,50.242,
0.0544,0.0067,-10.55,50.495,
0.0539,0.0066,-10.45,50.978,
0.0533,0.0064,-10.35,51.247,
0.0528,0.0063,-10.2501,51.696,
0.0522,0.0062,-10.15,52.014,
0.0517,0.006,-10.05,52.332,
0.0511,0.0059,-9.95,52.774,
0.0506,0.0057,-9.85,53.227,
0.05,0.0056,-9.75,53.485,
0.0494,0.0055,-9.65,53.986,
0.0489,0.0053,-9.5501,54.260,
0.0483,0.0052,-9.45,54.850,
0.0478,0.005,-9.35,55.142,
0.0472,0.0049,-9.25,55.507,
0.0467,0.0048,-9.15,55.967,
0.0461,0.0046,-9.05,56.437,
0.0455,0.0045,-8.95,56.712,
0.045,0.0043,-8.85,57.273,
0.0444,0.0042,-8.75,57.586,
0.0439,0.0041,-8.65,58.042,
0.0433,0.0039,-8.55,58.438,
0.0428,0.0038,-8.45,58.886,
0.0422,0.0036,-8.35,59.381,
0.0417,0.0035,-8.25,59.762,
0.0411,0.0034,-8.1501,60.134,
0.0405,0.0032,-8.05,60.540,
0.04,0.0031,-7.95,61.111,
0.0394,0.0029,-7.8501,61.477,
0.0389,0.0028,-7.75,62.179,
0.0383,0.0027,-7.65,62.489,
0.0378,0.0025,-7.55,62.989,
0.0372,0.0024,-7.45,63.381,
0.0368,0.0022,-7.35,63.725,
0.0364,0.0021,-7.25,64.491,
0.0358,0.002,-7.15,64.765,
0.0353,0.0018,-7.05,65.155,
0.0346,0.0017,-6.95,65.763,
0.0339,0.0016,-6.85,66.138,
0.0333,0.0014,-6.75,66.850,
0.0328,0.0013,-6.65,67.317,
0.0322,0.0011,-6.55,67.769,
0.0316,0.001,-6.45,68.345,
0.0311,0.0009,-6.35,68.923,
0.0305,0.0007,-6.25,69.487,
0.03,0.0006,-6.15,69.753,
0.0294,0.0004,-6.05,70.278,
0.0289,0.0003,-5.95,70.849,
0.0284,0.0003,-5.85,71.495,
0.0279,0.0002,-5.75,71.881,
0.0274,0.0002,-5.65,72.549,
0.027,0.0002,-5.55,73.035,
0.0265,0.0002,-5.45,73.659,
0.026,0.0002,-5.3501,74.171,
