HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Diamond SN 124596
Project run number,10
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,124596
Manufacturer,PTW
Model,Micro Diamond
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.839,[pA]
Reference detector,-0.897,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-02T15:14:35.8095317-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,1.66,[cm]
Field size inline,1.66,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-1.8,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,1.8,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,36000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.028620,[cm]
Calculated field width,1.725006,[cm]
Calculated penumbra left,0.378623,[cm]
Calculated penumbra right,0.420351,[cm]
Calculated symmetry,1.607,[%]
Normalisation factor,0.227516,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0,-1.7497,-5.001,1.651,
0.0005,-1.6498,-5.0019,1.886,
0.0007,-1.5496,-5.0019,2.336,
0.0008,-1.4497,-5.0019,2.994,
0.0009,-1.3499,-5.0019,4.120,
0.0011,-1.2497,-5.0019,6.262,
0.0012,-1.1496,-5.0019,10.288,
0.0012,-1.0498,-5.0019,17.380,
0.0011,-0.95,-5.0019,29.406,
0.0011,-0.8498,-5.0018,47.022,
0.0011,-0.7497,-5.0017,65.752,
0.001,-0.6496,-5.0017,79.986,
0.001,-0.5497,-5.0016,88.472,
0.0009,-0.4499,-5.0015,94.074,
0.001,-0.3498,-5.0015,96.879,
0.0011,-0.2496,-5.0014,98.865,
0.0011,-0.1497,-5.0014,99.628,
0.0011,-0.0499,-5.0013,100.000,
0.001,0.0502,-5.0012,99.860,
0.001,0.1504,-5.0012,99.629,
0.0009,0.2503,-5.0011,98.876,
0.0009,0.3501,-5.001,97.456,
0.0008,0.4502,-5.001,95.030,
0.0008,0.5503,-5.0009,90.931,
0.0008,0.6504,-5.0009,83.744,
0.0007,0.7503,-5.0008,72.399,
0.0005,0.8501,-5.0007,57.024,
0.0003,0.9502,-5.0007,39.885,
0.0003,1.0504,-5.0006,25.369,
0.0003,1.1503,-5.0006,15.310,
0.0002,1.2501,-5.0005,9.109,
0.0002,1.3502,-5.0004,5.657,
0.0001,1.4504,-5.0004,3.763,
0.0001,1.5503,-5.0003,2.820,
0,1.6501,-5.0002,2.242,
0,1.75,-5.0002,1.846,

Checksum:,51570374C736D9F05CE20CF57EE4C604B6904DAFBF7AFF251E755AB7188866AD
