HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Diamond SN 124596
Project run number,12
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,124596
Manufacturer,PTW
Model,Micro Diamond
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.855,[pA]
Reference detector,-0.894,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-02T17:01:29.6610982-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,24.07,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-13,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,13,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,260000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-5.938304,[cm]
Calculated field width,11.876608,[cm]
Calculated penumbra left,5.078491,[cm]
Calculated penumbra right,7.196917,[cm]
Calculated symmetry,8.308,[%]
Normalisation factor,0.181511,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-12.9508,-0.0018,-5.0015,7.821,
-12.8499,-0.0033,-5.0029,8.202,
-12.7499,-0.0032,-5.0031,8.709,
-12.6499,-0.0031,-5.0033,9.270,
-12.5499,-0.003,-5.0035,10.113,
-12.4499,-0.0029,-5.0037,11.309,
-12.3499,-0.0029,-5.0038,13.058,
-12.2498,-0.0028,-5.004,16.737,
-12.1498,-0.0027,-5.0042,23.973,
-12.0498,-0.0026,-5.0044,34.585,
-11.9498,-0.0025,-5.0046,45.029,
-11.8499,-0.0025,-5.0048,51.814,
-11.75,-0.0024,-5.005,56.644,
-11.6499,-0.0023,-5.0052,59.167,
-11.5498,-0.0022,-5.0053,60.927,
-11.4498,-0.0021,-5.0055,62.379,
-11.3499,-0.0021,-5.0057,63.254,
-11.25,-0.002,-5.0059,64.058,
-11.15,-0.0019,-5.0061,64.660,
-11.05,-0.0018,-5.0063,65.328,
-10.95,-0.0017,-5.0065,65.575,
-10.8499,-0.0017,-5.0066,66.063,
-10.75,-0.0016,-5.0068,66.382,
-10.65,-0.0015,-5.007,66.893,
-10.55,-0.0014,-5.0072,67.457,
-10.4499,-0.0013,-5.0074,67.731,
-10.3499,-0.0013,-5.0076,68.104,
-10.2499,-0.0012,-5.0078,68.585,
-10.1499,-0.0011,-5.0079,68.864,
-10.0499,-0.001,-5.0081,69.614,
-9.9498,-0.0009,-5.0083,69.704,
-9.8498,-0.0009,-5.0085,69.934,
-9.7498,-0.0008,-5.0087,70.230,
-9.6499,-0.0007,-5.0089,70.932,
-9.5498,-0.0006,-5.0091,70.999,
-9.4498,-0.0005,-5.0093,71.528,
-9.3498,-0.0005,-5.0094,72.146,
-9.2499,-0.0004,-5.0095,72.148,
-9.1499,-0.0004,-5.0095,72.412,
-9.0498,-0.0004,-5.0095,73.140,
-8.9499,-0.0004,-5.0094,73.283,
-8.8498,-0.0004,-5.0093,73.893,
-8.7499,-0.0004,-5.0093,74.159,
-8.6499,-0.0004,-5.0092,74.705,
-8.5499,-0.0005,-5.0091,74.894,
-8.4498,-0.0005,-5.009,75.172,
-8.3498,-0.0005,-5.009,75.533,
-8.2499,-0.0005,-5.0089,75.586,
-8.1499,-0.0005,-5.0088,76.209,
-8.0499,-0.0005,-5.0088,76.746,
-7.9499,-0.0005,-5.0087,76.908,
-7.8498,-0.0006,-5.0086,77.572,
-7.7499,-0.0006,-5.0086,78.000,
-7.6499,-0.0006,-5.0085,78.123,
-7.5498,-0.0006,-5.0084,78.424,
-7.4499,-0.0006,-5.0084,78.994,
-7.35,-0.0006,-5.0083,79.282,
-7.2499,-0.0006,-5.0082,79.641,
-7.1499,-0.0006,-5.0081,79.899,
-7.0498,-0.0007,-5.0081,80.325,
-6.9499,-0.0007,-5.008,80.924,
-6.8499,-0.0007,-5.0079,80.967,
-6.7498,-0.0007,-5.0079,81.343,
-6.6499,-0.0007,-5.0078,82.172,
-6.5498,-0.0007,-5.0077,82.407,
-6.4499,-0.0007,-5.0077,82.689,
-6.3499,-0.0008,-5.0076,83.122,
-6.2499,-0.0008,-5.0075,83.751,
-6.1498,-0.0008,-5.0075,83.893,
-6.0498,-0.0008,-5.0074,84.064,
-5.9499,-0.0008,-5.0073,84.378,
-5.8499,-0.0008,-5.0072,84.956,
-5.7498,-0.0008,-5.0072,85.590,
-5.6499,-0.0008,-5.0071,85.458,
-5.5498,-0.0009,-5.007,85.907,
-5.4499,-0.0009,-5.007,86.397,
-5.3499,-0.0009,-5.0069,86.760,
-5.2498,-0.0009,-5.0068,87.145,
-5.1499,-0.0009,-5.0068,87.731,
-5.0499,-0.0009,-5.0067,87.778,
-4.9499,-0.0009,-5.0066,87.900,
-4.8499,-0.001,-5.0065,88.524,
-4.7498,-0.001,-5.0065,88.998,
-4.6499,-0.001,-5.0064,89.270,
-4.55,-0.001,-5.0063,89.657,
-4.4499,-0.001,-5.0063,89.854,
-4.3498,-0.001,-5.0062,90.173,
-4.2499,-0.001,-5.0061,90.552,
-4.1499,-0.001,-5.0061,90.754,
-4.0498,-0.0011,-5.006,91.141,
-3.9498,-0.0011,-5.0059,91.985,
-3.8499,-0.0011,-5.0059,92.244,
-3.7499,-0.0011,-5.0058,92.092,
-3.6498,-0.0011,-5.0057,92.528,
-3.5499,-0.0011,-5.0056,92.877,
-3.4499,-0.0011,-5.0056,93.417,
-3.3499,-0.0012,-5.0055,93.480,
-3.2499,-0.0012,-5.0054,93.972,
-3.1498,-0.0012,-5.0054,93.812,
-3.0499,-0.0012,-5.0053,94.673,
-2.9499,-0.0012,-5.0052,95.059,
-2.8498,-0.0012,-5.0052,95.177,
-2.7499,-0.0012,-5.0051,95.566,
-2.6499,-0.0013,-5.005,95.537,
-2.5499,-0.0013,-5.005,96.129,
-2.4499,-0.0013,-5.0049,96.030,
-2.3498,-0.0013,-5.0048,96.618,
-2.2499,-0.0013,-5.0047,96.823,
-2.1499,-0.0013,-5.0047,97.173,
-2.0498,-0.0013,-5.0046,97.392,
-1.9498,-0.0013,-5.0045,97.537,
-1.8498,-0.0014,-5.0045,97.647,
-1.7498,-0.0014,-5.0044,97.748,
-1.6498,-0.0014,-5.0043,97.779,
-1.5499,-0.0014,-5.0043,98.363,
-1.4499,-0.0014,-5.0042,98.504,
-1.3498,-0.0014,-5.0041,98.569,
-1.2499,-0.0014,-5.0041,98.868,
-1.1499,-0.0015,-5.004,99.017,
-1.0499,-0.0015,-5.0039,99.306,
-0.9499,-0.0015,-5.0038,99.431,
-0.8498,-0.0015,-5.0038,99.335,
-0.7499,-0.0015,-5.0037,99.776,
-0.6499,-0.0015,-5.0036,100.000,
-0.5498,-0.0015,-5.0036,99.830,
-0.4499,-0.0015,-5.0035,99.841,
-0.3499,-0.0016,-5.0034,99.757,
-0.2499,-0.0016,-5.0034,99.901,
-0.1499,-0.0016,-5.0033,99.967,
-0.0498,-0.0016,-5.0032,99.650,
0.0501,-0.0016,-5.0031,99.647,
0.1501,-0.0016,-5.0031,99.519,
0.2501,-0.0016,-5.0031,99.346,
0.3501,-0.0016,-5.0031,99.147,
0.4501,-0.0016,-5.0031,99.404,
0.5501,-0.0016,-5.0031,99.435,
0.6501,-0.0015,-5.0031,99.206,
0.7501,-0.0015,-5.0031,99.339,
0.8501,-0.0015,-5.0031,98.637,
0.9501,-0.0015,-5.0031,98.934,
1.0501,-0.0015,-5.0031,98.838,
1.1501,-0.0015,-5.0031,98.388,
1.2501,-0.0014,-5.0031,98.647,
1.3501,-0.0014,-5.0031,98.186,
1.45,-0.0014,-5.0031,98.196,
1.5501,-0.0014,-5.0031,98.228,
1.65,-0.0014,-5.0031,97.923,
1.7501,-0.0013,-5.0031,97.859,
1.85,-0.0013,-5.0031,97.477,
1.9501,-0.0013,-5.0031,97.113,
2.0502,-0.0013,-5.0031,97.055,
2.1501,-0.0013,-5.0031,96.940,
2.2502,-0.0013,-5.0031,96.727,
2.3501,-0.0012,-5.0031,96.310,
2.4502,-0.0012,-5.0031,96.341,
2.5501,-0.0012,-5.0031,95.873,
2.6502,-0.0012,-5.0031,96.084,
2.7501,-0.0012,-5.0031,95.388,
2.8502,-0.0012,-5.0031,94.969,
2.9501,-0.0011,-5.0031,94.494,
3.0502,-0.0011,-5.0031,94.476,
3.1501,-0.0011,-5.0031,94.205,
3.2502,-0.0011,-5.0031,93.842,
3.3501,-0.0011,-5.0031,93.371,
3.4502,-0.0011,-5.0031,93.237,
3.5501,-0.001,-5.0031,93.101,
3.6502,-0.001,-5.0031,92.651,
3.7501,-0.001,-5.0031,92.260,
3.8501,-0.001,-5.0031,91.859,
3.95,-0.001,-5.0031,91.373,
4.0501,-0.0009,-5.0031,91.389,
4.15,-0.0009,-5.0031,90.914,
4.2501,-0.0009,-5.0031,90.444,
4.35,-0.0009,-5.0031,90.361,
4.4501,-0.0009,-5.0031,89.921,
4.55,-0.0009,-5.0031,89.616,
4.6501,-0.0008,-5.0031,89.176,
4.7501,-0.0008,-5.0031,88.783,
4.8502,-0.0008,-5.0031,88.539,
4.9501,-0.0008,-5.0031,88.387,
5.0502,-0.0008,-5.0031,87.915,
5.1501,-0.0008,-5.0031,87.514,
5.2502,-0.0007,-5.0031,87.325,
5.3501,-0.0007,-5.0031,86.825,
5.4502,-0.0007,-5.0031,86.391,
5.5501,-0.0007,-5.0031,85.791,
5.6502,-0.0007,-5.0031,85.696,
5.7501,-0.0006,-5.0031,85.513,
5.8502,-0.0006,-5.0031,84.964,
5.9501,-0.0006,-5.0031,84.813,
6.0501,-0.0006,-5.0031,84.096,
6.1501,-0.0006,-5.0031,84.177,
6.2501,-0.0006,-5.0031,83.564,
6.35,-0.0005,-5.0031,83.178,
6.4501,-0.0005,-5.0031,82.868,
6.55,-0.0005,-5.0031,82.572,
6.6501,-0.0005,-5.0031,82.187,
6.75,-0.0005,-5.0031,81.697,
6.8501,-0.0005,-5.0031,81.295,
6.95,-0.0004,-5.0031,80.974,
7.0501,-0.0004,-5.0031,80.676,
7.15,-0.0004,-5.0031,80.255,
7.2501,-0.0004,-5.0031,79.711,
7.35,-0.0004,-5.0031,79.510,
7.4501,-0.0004,-5.0032,79.239,
7.55,-0.0003,-5.0032,78.579,
7.6501,-0.0003,-5.0032,78.160,
7.75,-0.0003,-5.0032,77.839,
7.8501,-0.0003,-5.0032,77.614,
7.95,-0.0003,-5.0032,77.057,
8.0501,-0.0002,-5.0032,76.750,
8.15,-0.0002,-5.0032,76.470,
8.2501,-0.0002,-5.0032,75.600,
8.35,-0.0002,-5.0032,75.448,
8.4502,-0.0002,-5.0032,75.105,
8.5502,-0.0002,-5.0032,74.850,
8.6501,-0.0001,-5.0032,74.639,
8.7502,-0.0001,-5.0032,74.035,
8.8501,-0.0001,-5.0032,73.656,
8.9502,-0.0001,-5.0032,73.159,
9.0501,-0.0001,-5.0032,72.925,
9.1501,-0.0001,-5.0032,72.582,
9.2501,0,-5.0032,72.420,
9.3501,0,-5.0032,71.673,
9.45,0,-5.0032,71.517,
9.5502,0,-5.0031,71.207,
9.6502,0,-5.0031,70.865,
9.7502,0,-5.003,70.429,
9.8502,-0.0001,-5.0029,70.513,
9.9501,-0.0001,-5.0028,69.680,
10.05,-0.0001,-5.0027,69.342,
10.1501,-0.0001,-5.0026,68.805,
10.25,-0.0001,-5.0025,68.463,
10.3501,-0.0001,-5.0024,68.039,
10.45,-0.0002,-5.0024,67.588,
10.5501,-0.0002,-5.0023,67.199,
10.65,-0.0002,-5.0022,66.884,
10.7502,-0.0002,-5.0021,66.370,
10.8502,-0.0002,-5.002,66.137,
10.9501,-0.0003,-5.0019,65.534,
11.0502,-0.0003,-5.0018,64.834,
11.1501,-0.0003,-5.0018,64.347,
11.2502,-0.0003,-5.0017,63.767,
11.3501,-0.0003,-5.0016,63.044,
11.4501,-0.0004,-5.0015,61.929,
11.5501,-0.0004,-5.0014,60.569,
11.6501,-0.0004,-5.0013,58.754,
11.7501,-0.0004,-5.0012,55.432,
11.8501,-0.0004,-5.0011,50.064,
11.9501,-0.0004,-5.0011,42.026,
12.0501,-0.0005,-5.001,31.720,
12.1501,-0.0005,-5.0009,22.010,
12.2502,-0.0005,-5.0008,15.678,
12.3501,-0.0005,-5.0007,12.125,
12.4502,-0.0005,-5.0006,10.187,
12.5501,-0.0006,-5.0005,9.300,
12.6501,-0.0006,-5.0004,8.619,
12.7501,-0.0006,-5.0004,8.222,
