HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Diamond SN 124596
Project run number,12
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,124596
Manufacturer,PTW
Model,Micro Diamond
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.855,[pA]
Reference detector,-0.894,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-02T17:06:09.0022495-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,24.07,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-13,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,13,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,260000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.050233,[cm]
Calculated field width,23.863853,[cm]
Calculated penumbra left,5.113426,[cm]
Calculated penumbra right,4.781239,[cm]
Calculated symmetry,1.582,[%]
Normalisation factor,0.181968,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0013,-12.9491,-5.0069,7.437,
0.0016,-12.8496,-5.0138,7.729,
0.0018,-12.7498,-5.0137,8.152,
0.002,-12.65,-5.0137,8.700,
0.0021,-12.5499,-5.0137,9.462,
0.0021,-12.4497,-5.0137,10.506,
0.002,-12.3496,-5.0136,12.495,
0.002,-12.2497,-5.0136,16.441,
0.0019,-12.1499,-5.0136,23.655,
0.0019,-12.0498,-5.0136,34.127,
0.0016,-11.9497,-5.0135,44.750,
0.0015,-11.8496,-5.0135,52.478,
0.0014,-11.7497,-5.0135,57.077,
0.0014,-11.65,-5.0135,59.902,
0.0011,-11.5498,-5.0134,61.359,
0.001,-11.4497,-5.0134,62.556,
0.0009,-11.3496,-5.0134,63.423,
0.0009,-11.2497,-5.0134,64.077,
0.0008,-11.1499,-5.0133,64.532,
0.0008,-11.0498,-5.0133,64.897,
0.0005,-10.9496,-5.0133,65.617,
0.0004,-10.8497,-5.0133,65.881,
0.0003,-10.75,-5.0132,66.557,
0.0004,-10.6499,-5.0132,67.023,
0.0005,-10.5498,-5.0132,67.352,
0.0005,-10.4497,-5.0132,67.538,
0.0005,-10.3498,-5.0132,68.396,
0.0005,-10.25,-5.0132,68.454,
0.0005,-10.1498,-5.0132,68.817,
0.0005,-10.0496,-5.0132,69.297,
0.0005,-9.9497,-5.0132,69.571,
0.0005,-9.8498,-5.0132,69.839,
0.0003,-9.7497,-5.0132,70.311,
0.0002,-9.6498,-5.0132,70.622,
0.0003,-9.5499,-5.0132,70.866,
0.0003,-9.4498,-5.0132,71.510,
0.0003,-9.3496,-5.0132,72.068,
0.0003,-9.2497,-5.0133,72.017,
0.0003,-9.1499,-5.0133,72.272,
0.0003,-9.0497,-5.0133,72.995,
0.0003,-8.9496,-5.0133,73.279,
0.0001,-8.8497,-5.0133,73.839,
0,-8.7498,-5.0133,73.973,
0,-8.6497,-5.0133,74.251,
0,-8.5498,-5.0133,74.600,
0,-8.4499,-5.0133,75.222,
0,-8.3498,-5.0133,75.666,
-0.0002,-8.2496,-5.0133,75.884,
-0.0003,-8.1497,-5.0133,76.155,
-0.0003,-8.0498,-5.0133,76.587,
-0.0003,-7.9496,-5.0133,76.715,
-0.0003,-7.8497,-5.0133,77.296,
-0.0003,-7.7499,-5.0133,77.765,
-0.0003,-7.6497,-5.0133,78.156,
-0.0003,-7.5496,-5.0134,78.292,
-0.0003,-7.4497,-5.0134,78.770,
-0.0003,-7.3499,-5.0134,78.971,
-0.0003,-7.2497,-5.0134,79.379,
-0.0001,-7.1498,-5.0134,79.949,
0.0001,-7.05,-5.0134,80.030,
0.0001,-6.9498,-5.0134,80.373,
0.0003,-6.8496,-5.0134,80.937,
0.0004,-6.7497,-5.0134,81.023,
0.0004,-6.6499,-5.0134,81.666,
0.0004,-6.5498,-5.0134,81.930,
0.0004,-6.4496,-5.0134,82.401,
0.0004,-6.3497,-5.0134,82.696,
0.0006,-6.2499,-5.0134,83.083,
0.0007,-6.1497,-5.0134,83.382,
0.0007,-6.0498,-5.0134,83.998,
0.0007,-5.95,-5.0134,84.296,
0.0009,-5.8497,-5.0134,84.581,
0.001,-5.7498,-5.0135,85.199,
0.001,-5.6499,-5.0135,85.336,
0.001,-5.5497,-5.0135,85.903,
0.001,-5.4496,-5.0135,86.242,
0.0013,-5.3497,-5.0135,86.443,
0.0014,-5.2498,-5.0135,86.631,
0.0014,-5.1497,-5.0135,87.316,
0.0014,-5.0498,-5.0135,87.516,
0.0014,-4.9499,-5.0135,87.810,
0.0014,-4.8498,-5.0135,88.652,
0.0014,-4.7496,-5.0135,88.887,
0.0014,-4.6497,-5.0135,88.736,
0.0014,-4.5499,-5.0135,89.576,
0.0014,-4.4497,-5.0135,89.685,
0.0014,-4.3496,-5.0135,90.062,
0.0014,-4.2497,-5.0135,90.729,
0.0014,-4.1498,-5.0135,91.152,
0.0014,-4.0497,-5.0136,91.279,
0.0014,-3.9498,-5.0136,91.432,
0.0014,-3.85,-5.0136,91.724,
0.0014,-3.7498,-5.0136,92.273,
0.0014,-3.6496,-5.0136,92.548,
0.0014,-3.5497,-5.0136,92.693,
0.0014,-3.4498,-5.0136,92.981,
0.0014,-3.3496,-5.0136,93.404,
0.0014,-3.2497,-5.0136,93.768,
0.0014,-3.1499,-5.0136,93.855,
0.0015,-3.0498,-5.0136,94.781,
0.0015,-2.9496,-5.0136,94.689,
0.0015,-2.8497,-5.0136,95.129,
0.0015,-2.7499,-5.0136,95.246,
0.0015,-2.6497,-5.0136,95.251,
0.0015,-2.5498,-5.0136,96.070,
0.0015,-2.45,-5.0136,95.825,
0.0013,-2.3498,-5.0136,96.433,
0.0012,-2.2496,-5.0137,96.982,
0.0012,-2.1497,-5.0137,96.637,
0.0012,-2.0499,-5.0137,97.310,
0.0012,-1.9498,-5.0137,97.050,
0.0012,-1.8496,-5.0137,97.447,
0.0012,-1.7497,-5.0137,97.786,
0.0012,-1.6498,-5.0137,97.868,
0.0012,-1.5496,-5.0137,98.055,
0.0012,-1.4497,-5.0137,97.990,
0.0012,-1.3499,-5.0137,98.848,
0.0014,-1.2497,-5.0137,98.735,
0.0015,-1.1496,-5.0137,98.942,
0.0015,-1.0498,-5.0137,98.861,
0.0015,-0.95,-5.0137,98.950,
0.0015,-0.8498,-5.0136,99.323,
0.0014,-0.7497,-5.0135,99.407,
0.0014,-0.6496,-5.0135,99.627,
0.0013,-0.5497,-5.0134,99.651,
0.0013,-0.4499,-5.0134,99.757,
0.0012,-0.3498,-5.0133,99.812,
0.0012,-0.2496,-5.0132,100.000,
0.0012,-0.1497,-5.0132,99.758,
0.0011,-0.0499,-5.0131,99.820,
0.0011,0.0502,-5.013,99.916,
0.001,0.1504,-5.013,99.769,
0.001,0.2503,-5.0129,99.826,
0.0009,0.3501,-5.0129,99.758,
0.0009,0.4502,-5.0128,99.718,
0.0009,0.5503,-5.0127,99.715,
0.0008,0.6504,-5.0127,99.838,
0.0008,0.7503,-5.0126,99.397,
0.0007,0.8501,-5.0126,99.497,
0.0007,0.9502,-5.0125,99.430,
0.0007,1.0504,-5.0124,99.251,
0.0006,1.1503,-5.0124,99.217,
0.0006,1.2501,-5.0123,99.161,
0.0005,1.3502,-5.0123,98.844,
0.0005,1.4504,-5.0122,98.672,
0.0004,1.5503,-5.0121,98.804,
0.0004,1.6501,-5.0121,98.249,
0.0004,1.7502,-5.012,98.416,
0.0003,1.8503,-5.012,97.978,
0.0003,1.9502,-5.0119,98.136,
0.0002,2.05,-5.0118,97.859,
0.0002,2.1501,-5.0118,97.435,
0.0003,2.2502,-5.0117,96.922,
0.0004,2.3504,-5.0116,96.839,
0.0004,2.4503,-5.0116,96.627,
0.0003,2.5501,-5.0115,96.439,
0.0003,2.6502,-5.0115,96.125,
0.0002,2.7504,-5.0114,95.920,
0.0002,2.8503,-5.0113,95.426,
0.0002,2.9501,-5.0113,95.339,
0.0001,3.0502,-5.0112,94.913,
0.0001,3.1504,-5.0112,94.836,
0,3.2503,-5.0111,94.311,
0,3.35,-5.011,94.399,
-0.0001,3.4501,-5.011,93.995,
-0.0001,3.5503,-5.0109,93.733,
-0.0001,3.6502,-5.0109,93.329,
-0.0004,3.7501,-5.0108,93.347,
-0.0005,3.8502,-5.0107,92.736,
-0.0006,3.9503,-5.0107,92.569,
-0.0006,4.0502,-5.0106,92.287,
-0.0006,4.15,-5.0106,91.743,
-0.0007,4.2502,-5.0105,91.798,
-0.0007,4.3503,-5.0104,91.333,
-0.0008,4.4502,-5.0104,91.136,
-0.0008,4.55,-5.0103,90.513,
-0.0009,4.6502,-5.0102,90.304,
-0.0009,4.7503,-5.0102,90.058,
-0.0009,4.8504,-5.0101,89.494,
-0.001,4.9503,-5.0101,89.573,
-0.001,5.0501,-5.01,88.820,
-0.0011,5.1502,-5.0099,88.668,
-0.0011,5.2504,-5.0099,88.438,
-0.0011,5.3503,-5.0098,87.323,
-0.0012,5.4501,-5.0098,87.603,
-0.0012,5.5502,-5.0097,87.084,
-0.0013,5.6503,-5.0096,86.879,
-0.0013,5.7502,-5.0096,86.293,
-0.0014,5.85,-5.0095,86.218,
-0.0014,5.9502,-5.0095,85.545,
-0.0014,6.0503,-5.0094,85.528,
-0.0015,6.1502,-5.0093,84.945,
-0.0015,6.25,-5.0093,84.584,
-0.0016,6.3501,-5.0092,84.351,
-0.0016,6.4502,-5.0092,83.959,
-0.0017,6.5504,-5.0091,83.787,
-0.0017,6.6503,-5.009,83.191,
-0.0017,6.7501,-5.009,82.589,
-0.0018,6.8502,-5.0089,82.605,
-0.0018,6.9504,-5.0089,82.112,
-0.0021,7.0503,-5.0088,81.672,
-0.0022,7.1501,-5.0087,81.158,
-0.0022,7.2502,-5.0087,81.066,
-0.0023,7.3503,-5.0086,80.611,
-0.0023,7.4502,-5.0085,80.487,
-0.0024,7.55,-5.0085,79.662,
-0.0024,7.6502,-5.0084,79.717,
-0.0025,7.7503,-5.0084,79.428,
-0.0025,7.8504,-5.0083,78.857,
-0.0025,7.9503,-5.0082,78.442,
-0.0026,8.0501,-5.0082,77.926,
-0.0026,8.1502,-5.0081,77.719,
-0.0027,8.2504,-5.0081,77.331,
-0.0025,8.3505,-5.008,77.082,
-0.0024,8.4503,-5.0078,76.797,
-0.0023,8.5501,-5.0076,76.364,
-0.0023,8.6502,-5.0075,75.924,
-0.0022,8.7503,-5.0073,75.356,
-0.0021,8.8504,-5.0071,75.026,
-0.0021,8.9503,-5.007,75.101,
-0.002,9.05,-5.0068,74.460,
-0.002,9.1502,-5.0066,74.383,
-0.0019,9.2503,-5.0064,73.949,
-0.0019,9.3502,-5.0063,73.332,
-0.0018,9.45,-5.0061,73.092,
-0.0017,9.5501,-5.0059,72.681,
-0.0017,9.6503,-5.0058,72.472,
-0.0016,9.7504,-5.0056,72.236,
-0.0016,9.8504,-5.0054,71.737,
-0.0031,9.9503,-5.0053,71.114,
-0.0046,10.0501,-5.0051,70.899,
-0.0043,10.1502,-5.0049,70.264,
-0.004,10.2504,-5.0048,70.201,
-0.0036,10.3503,-5.0046,69.682,
-0.0032,10.45,-5.0044,69.417,
-0.0028,10.5501,-5.0042,68.930,
-0.0024,10.6502,-5.0041,68.512,
-0.0023,10.7503,-5.0039,68.176,
-0.002,10.8502,-5.0037,67.437,
-0.0018,10.95,-5.0036,67.286,
-0.0018,11.0501,-5.0034,67.007,
-0.0017,11.1503,-5.0032,66.243,
-0.0017,11.2504,-5.0031,65.771,
-0.0016,11.3503,-5.0029,64.973,
-0.0016,11.4501,-5.0027,64.526,
-0.0015,11.5502,-5.0026,63.585,
-0.0014,11.6503,-5.0024,62.662,
-0.0012,11.7504,-5.0022,60.804,
-0.001,11.8503,-5.0021,58.028,
-0.001,11.95,-5.0019,52.923,
-0.0009,12.0502,-5.0017,43.817,
-0.0008,12.1503,-5.0015,32.188,
-0.0008,12.2504,-5.0014,22.407,
-0.0007,12.3503,-5.0012,16.384,
-0.0007,12.4501,-5.001,13.334,
-0.0006,12.5502,-5.0009,11.706,
-0.0006,12.6503,-5.0007,10.679,
-0.0006,12.7504,-5.0005,10.014,
-0.0007,12.8503,-5.0004,9.526,
-0.0007,12.9499,-5.0002,9.156,

Checksum:,1DA7A4D84F5A5B506D2703E85941E064BA0F2EB73DC862967AB0448B498210CB
