HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Silicon SN 152329
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,152329
Manufacturer,PTW
Model,Micro Silicon
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.857,[pA]
Reference detector,-0.89,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-22T17:28:21.7919560-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,9.96,[cm]
Field size inline,9.96,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-6,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,6,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.03,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,120000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.006022,[cm]
Calculated field width,9.814104,[cm]
Calculated penumbra left,0.569244,[cm]
Calculated penumbra right,4.515025,[cm]
Calculated symmetry,1.236,[%]
Normalisation factor,0.010904,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-5.9516,-0.001,-5.002,-6.401,
-5.8498,-0.001,-5.0039,-6.928,
-5.7499,-0.001,-5.0038,-7.497,
-5.6499,-0.001,-5.0038,-8.067,
-5.5498,-0.001,-5.0037,-8.981,
-5.4499,-0.0011,-5.0036,-10.114,
-5.35,-0.0011,-5.0036,-11.704,
-5.2499,-0.0011,-5.0035,-14.082,
-5.1499,-0.0011,-5.0034,-18.737,
-5.0498,-0.0011,-5.0034,-28.114,
-4.9499,-0.0011,-5.0033,-43.909,
-4.8499,-0.0011,-5.0032,-60.449,
-4.7499,-0.0012,-5.0032,-71.196,
-4.65,-0.0012,-5.0031,-77.139,
-4.5499,-0.0012,-5.003,-80.597,
-4.4498,-0.0012,-5.003,-82.855,
-4.3499,-0.0012,-5.0029,-84.564,
-4.25,-0.0012,-5.0028,-85.833,
-4.1499,-0.0012,-5.0028,-86.664,
-4.0499,-0.0013,-5.0027,-87.489,
-3.9498,-0.0013,-5.0026,-88.043,
-3.8498,-0.0013,-5.0026,-88.370,
-3.7498,-0.0013,-5.0025,-89.193,
-3.6499,-0.0013,-5.0024,-89.566,
-3.5499,-0.0013,-5.0024,-90.404,
-3.4498,-0.0013,-5.0023,-90.886,
-3.3499,-0.0014,-5.0022,-91.518,
-3.2498,-0.0014,-5.0022,-92.054,
-3.1499,-0.0014,-5.0021,-92.590,
-3.0499,-0.0014,-5.002,-92.751,
-2.9498,-0.0014,-5.002,-93.538,
-2.8499,-0.0014,-5.0019,-93.770,
-2.7498,-0.0014,-5.0018,-94.081,
-2.6499,-0.0015,-5.0018,-94.365,
-2.5499,-0.0015,-5.0017,-94.649,
-2.4498,-0.0015,-5.0016,-95.234,
-2.3499,-0.0015,-5.0016,-95.516,
-2.25,-0.0015,-5.0015,-95.768,
-2.1499,-0.0015,-5.0014,-96.019,
