HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Silicon SN 152329
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,152329
Manufacturer,PTW
Model,Micro Silicon
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.857,[pA]
Reference detector,-0.89,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-22T17:54:51.0685704-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,19.92,[cm]
Field size inline,19.92,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-11,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,11,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.03,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,220000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.014082,[cm]
Calculated field width,19.671996,[cm]
Calculated penumbra left,3.211597,[cm]
Calculated penumbra right,3.120737,[cm]
Calculated symmetry,1.049,[%]
Normalisation factor,0.010272,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-10.9509,-0.0013,-5.0024,-8.216,
-10.85,-0.0018,-5.0048,-8.617,
-10.75,-0.0017,-5.005,-9.022,
-10.65,-0.0016,-5.0051,-9.558,
-10.55,-0.0015,-5.0053,-10.169,
-10.45,-0.0014,-5.0055,-11.035,
-10.35,-0.0014,-5.0057,-12.320,
-10.25,-0.0013,-5.0059,-14.287,
-10.1499,-0.0012,-5.0061,-18.115,
-10.0499,-0.0011,-5.0063,-25.661,
-9.9499,-0.001,-5.0064,-36.868,
-9.8499,-0.0009,-5.0066,-47.841,
-9.75,-0.0008,-5.0068,-55.549,
-9.6499,-0.0008,-5.007,-60.617,
-9.5499,-0.0007,-5.0072,-63.591,
-9.4499,-0.0006,-5.0074,-65.885,
-9.3499,-0.0005,-5.0075,-67.437,
-9.2498,-0.0005,-5.0075,-68.357,
-9.1499,-0.0005,-5.0074,-69.265,
-9.0498,-0.0005,-5.0073,-69.960,
-8.9499,-0.0005,-5.0073,-70.541,
-8.8499,-0.0006,-5.0072,-70.981,
-8.7498,-0.0006,-5.0071,-71.807,
-8.6498,-0.0006,-5.0071,-72.258,
-8.5498,-0.0006,-5.007,-72.397,
-8.4498,-0.0006,-5.0069,-73.279,
-8.3497,-0.0006,-5.0069,-73.682,
-8.2499,-0.0006,-5.0068,-73.985,
-8.15,-0.0007,-5.0068,-74.480,
-8.05,-0.0007,-5.0067,-75.128,
-7.9499,-0.0007,-5.0066,-75.393,
-7.85,-0.0007,-5.0066,-75.786,
-7.7499,-0.0007,-5.0065,-76.902,
-7.6499,-0.0007,-5.0064,-76.895,
-7.5498,-0.0007,-5.0064,-77.332,
-7.4499,-0.0008,-5.0063,-77.739,
-7.3499,-0.0008,-5.0062,-78.245,
-7.2499,-0.0008,-5.0062,-78.619,
-7.1499,-0.0008,-5.0061,-79.127,
-7.0498,-0.0008,-5.006,-79.583,
-6.9499,-0.0008,-5.006,-79.914,
-6.8499,-0.0008,-5.0059,-80.149,
