HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Silicon SN 152329
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,152329
Manufacturer,PTW
Model,Micro Silicon
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.857,[pA]
Reference detector,-0.89,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-22T17:30:31.7671702-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,9.96,[cm]
Field size inline,9.96,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-6,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,6,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.03,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,120000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.018606,[cm]
Calculated field width,10.010785,[cm]
Calculated penumbra left,0.640982,[cm]
Calculated penumbra right,0.668120,[cm]
Calculated symmetry,0.652,[%]
Normalisation factor,0.010896,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0022,-5.9502,-5.0021,-7.129,
-0.0015,-5.8497,-5.004,-7.630,
-0.0011,-5.7497,-5.004,-8.159,
-0.0004,-5.6496,-5.004,-8.819,
0.0003,-5.5497,-5.004,-9.863,
0.001,-5.4499,-5.004,-11.746,
0.0013,-5.3497,-5.004,-14.799,
0.0014,-5.2498,-5.004,-19.964,
0.0017,-5.15,-5.0041,-28.300,
0.0022,-5.0498,-5.0041,-40.936,
0.0023,-4.9496,-5.0041,-55.349,
0.0025,-4.8497,-5.0041,-66.444,
0.0026,-4.7499,-5.0041,-73.950,
0.0026,-4.6498,-5.0041,-78.885,
0.0027,-4.5496,-5.0041,-81.584,
0.0029,-4.4497,-5.0041,-83.599,
0.003,-4.3498,-5.0041,-84.693,
0.003,-4.2496,-5.0041,-85.972,
0.003,-4.1497,-5.0042,-86.759,
0.003,-4.0499,-5.0042,-87.601,
0.003,-3.9497,-5.0042,-88.410,
0.003,-3.8496,-5.0042,-88.948,
0.003,-3.7497,-5.0042,-89.394,
0.003,-3.6498,-5.0042,-89.849,
0.003,-3.5497,-5.0042,-90.770,
0.003,-3.4498,-5.0042,-91.260,
0.003,-3.3499,-5.0042,-91.699,
0.003,-3.2498,-5.0042,-91.723,
0.003,-3.1496,-5.0042,-92.280,
0.003,-3.0497,-5.0043,-92.921,
0.003,-2.9499,-5.0043,-93.352,
0.003,-2.8497,-5.0043,-93.578,
0.003,-2.7498,-5.0043,-94.154,
0.003,-2.6499,-5.0043,-94.422,
0.003,-2.5497,-5.0043,-94.560,
0.003,-2.4496,-5.0043,-95.001,
0.003,-2.3497,-5.0043,-95.334,
0.003,-2.2498,-5.0043,-95.643,
0.003,-2.1497,-5.0043,-96.031,
0.0028,-2.0498,-5.0044,-96.184,
0.0027,-1.95,-5.0044,-96.385,
