HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Silicon SN 152329
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,152329
Manufacturer,PTW
Model,Micro Silicon
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.857,[pA]
Reference detector,-0.89,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-22T17:18:06.7698287-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,4.98,[cm]
Field size inline,4.98,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-3.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,3.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.03,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,70000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.004428,[cm]
Calculated field width,4.904380,[cm]
Calculated penumbra left,0.383267,[cm]
Calculated penumbra right,0.493189,[cm]
Calculated symmetry,5.263,[%]
Normalisation factor,0.011610,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-3.4498,-0.0007,-5.0012,-4.244,
-3.3499,-0.0008,-5.0023,-4.807,
-3.2498,-0.0008,-5.0022,-5.388,
-3.1499,-0.0008,-5.0022,-6.139,
-3.0499,-0.0008,-5.0021,-7.107,
-2.9498,-0.0008,-5.002,-8.430,
-2.8499,-0.0008,-5.002,-10.412,
-2.7498,-0.0008,-5.0019,-13.541,
-2.6499,-0.0009,-5.0018,-19.449,
-2.5499,-0.0009,-5.0018,-31.921,
-2.4498,-0.0009,-5.0017,-51.321,
-2.3499,-0.0009,-5.0016,-70.018,
-2.25,-0.0009,-5.0016,-81.390,
-2.1499,-0.0009,-5.0015,-87.255,
-2.0499,-0.0009,-5.0014,-90.579,
-1.9498,-0.001,-5.0014,-92.608,
-1.8499,-0.001,-5.0013,-94.154,
-1.7499,-0.001,-5.0013,-94.791,
-1.6499,-0.001,-5.0012,-95.552,
-1.5499,-0.001,-5.0011,-96.233,
-1.4499,-0.001,-5.0011,-96.589,
-1.3499,-0.001,-5.001,-97.115,
-1.2498,-0.0011,-5.0009,-97.500,
-1.1499,-0.0011,-5.0009,-97.683,
-1.0499,-0.0011,-5.0008,-97.894,
-0.9499,-0.0011,-5.0007,-98.268,
-0.8499,-0.0011,-5.0007,-98.708,
-0.7498,-0.0011,-5.0006,-99.031,
-0.6499,-0.0012,-5.0005,-99.391,
-0.5499,-0.0012,-5.0005,-99.393,
-0.4498,-0.0012,-5.0004,-99.610,
-0.3499,-0.0012,-5.0003,-100.000,
-0.25,-0.0012,-5.0003,-99.590,
-0.1499,-0.0012,-5.0002,-99.660,
-0.0499,-0.0012,-5.0001,-99.450,
0.0502,-0.0013,-5.0001,-99.326,
0.1502,-0.0012,-5.0001,-99.327,
0.2501,-0.0012,-5.0001,-99.051,
0.3502,-0.0012,-5.0001,-99.126,
0.4501,-0.0012,-5.0001,-99.154,
0.5502,-0.0012,-5.0001,-98.892,
0.6501,-0.0011,-5.0001,-98.722,
0.7502,-0.0011,-5.0001,-98.189,
0.8501,-0.0011,-5.0001,-98.349,
0.9501,-0.0011,-5.0001,-98.136,
1.0501,-0.0011,-5.0001,-97.755,
1.1501,-0.0011,-5.0001,-97.314,
1.2501,-0.001,-5.0001,-96.739,
1.3501,-0.001,-5.0001,-96.308,
1.4501,-0.001,-5.0001,-95.784,
1.5501,-0.001,-5.0001,-95.404,
1.6501,-0.001,-5.0001,-94.783,
1.7501,-0.0009,-5.0001,-93.437,
1.8501,-0.0009,-5.0001,-92.442,
1.9501,-0.0009,-5.0001,-90.398,
2.0501,-0.0009,-5.0001,-87.674,
2.1501,-0.0009,-5.0001,-83.112,
2.2501,-0.0009,-5.0001,-75.440,
2.3501,-0.0008,-5.0001,-64.056,
2.4501,-0.0008,-5.0001,-49.663,
2.5501,-0.0008,-5.0001,-34.104,
2.65,-0.0008,-5.0001,-22.572,
2.7501,-0.0008,-5.0001,-14.967,
2.85,-0.0007,-5.0001,-10.392,
2.9501,-0.0007,-5.0001,-7.840,
3.0502,-0.0007,-5.0001,-6.540,
3.1501,-0.0007,-5.0001,-5.740,
3.2502,-0.0007,-5.0001,-5.185,
3.3501,-0.0007,-5.0001,-4.827,
3.4502,-0.0006,-5.0001,-4.435,

Checksum:,ED5F3E99B9244AC963D0465D96912615CBD84C638F1DDF35B773E428C91F6343
