HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Silicon SN 152329
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,152329
Manufacturer,PTW
Model,Micro Silicon
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.857,[pA]
Reference detector,-0.89,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-22T17:41:12.7477806-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,14.94,[cm]
Field size inline,14.94,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-8.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,8.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.03,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,170000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.006452,[cm]
Calculated field width,14.727269,[cm]
Calculated penumbra left,1.327739,[cm]
Calculated penumbra right,1.312211,[cm]
Calculated symmetry,0.888,[%]
Normalisation factor,0.010524,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-8.4517,-0.0009,-5.0028,-7.500,
-8.3497,-0.0012,-5.0055,-7.905,
-8.2499,-0.0012,-5.0054,-8.405,
-8.1499,-0.0013,-5.0054,-8.921,
-8.0498,-0.0013,-5.0053,-9.618,
-7.9499,-0.0013,-5.0052,-10.580,
-7.85,-0.0013,-5.0052,-11.846,
-7.7499,-0.0013,-5.0051,-13.680,
-7.6499,-0.0013,-5.005,-17.334,
-7.5498,-0.0013,-5.005,-24.795,
-7.4499,-0.0014,-5.0049,-36.929,
-7.35,-0.0014,-5.0048,-51.013,
-7.2499,-0.0014,-5.0048,-60.793,
-7.1499,-0.0014,-5.0047,-66.747,
-7.0498,-0.0014,-5.0046,-70.822,
-6.9499,-0.0014,-5.0046,-73.087,
-6.8499,-0.0014,-5.0045,-74.633,
-6.7499,-0.0015,-5.0044,-76.179,
-6.6499,-0.0015,-5.0044,-77.055,
-6.5498,-0.0015,-5.0043,-78.332,
-6.4499,-0.0015,-5.0042,-78.669,
-6.3499,-0.0015,-5.0042,-79.498,
-6.2498,-0.0015,-5.0041,-80.289,
-6.1498,-0.0016,-5.004,-80.560,
-6.0498,-0.0016,-5.004,-81.284,
-5.9498,-0.0016,-5.0039,-81.740,
-5.8498,-0.0016,-5.0038,-82.356,
-5.7499,-0.0016,-5.0038,-82.846,
-5.6499,-0.0016,-5.0037,-83.542,
-5.5498,-0.0016,-5.0036,-83.980,
-5.4499,-0.0017,-5.0036,-84.345,
-5.35,-0.0017,-5.0035,-84.811,
-5.2499,-0.0017,-5.0035,-85.144,
-5.1499,-0.0017,-5.0034,-85.588,
-5.0498,-0.0017,-5.0033,-86.183,
-4.9499,-0.0017,-5.0033,-86.763,
-4.8499,-0.0017,-5.0032,-87.106,
-4.7499,-0.0018,-5.0031,-87.738,
-4.65,-0.0018,-5.0031,-88.124,
