HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Silicon SN 152329
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,152329
Manufacturer,PTW
Model,Micro Silicon
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.857,[pA]
Reference detector,-0.89,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-22T16:57:41.0069794-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,3.32,[cm]
Field size inline,3.32,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-2.7,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,2.7,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.03,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,54000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.000428,[cm]
Calculated field width,3.400676,[cm]
Calculated penumbra left,0.433894,[cm]
Calculated penumbra right,0.449116,[cm]
Calculated symmetry,0.725,[%]
Normalisation factor,0.012178,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0013,-2.6502,-5.0012,-3.362,
-0.0005,-2.5497,-5.0023,-3.777,
-0.0002,-2.4496,-5.0023,-4.211,
0,-2.3497,-5.0023,-4.887,
0,-2.2498,-5.0023,-5.982,
0,-2.1497,-5.0023,-7.837,
0,-2.0498,-5.0024,-11.096,
0,-1.95,-5.0024,-16.899,
0,-1.8498,-5.0024,-26.584,
0,-1.7496,-5.0024,-41.267,
0.0002,-1.6497,-5.0024,-59.132,
0.0003,-1.5499,-5.0024,-73.752,
0.0005,-1.4497,-5.0024,-83.255,
0.0006,-1.3498,-5.0024,-89.046,
0.0006,-1.2499,-5.0024,-92.748,
0.0008,-1.1498,-5.0024,-95.089,
0.0009,-1.0497,-5.0024,-96.109,
0.0009,-0.9496,-5.0024,-97.550,
0.0009,-0.8497,-5.0023,-98.036,
0.0008,-0.75,-5.0023,-98.702,
0.0008,-0.6498,-5.0022,-98.887,
0.0007,-0.5497,-5.0021,-99.145,
0.0007,-0.4498,-5.0021,-99.101,
0.0008,-0.35,-5.002,-99.682,
0.0009,-0.2498,-5.002,-99.736,
0.0009,-0.1497,-5.0019,-100.000,
0.0008,-0.0496,-5.0018,-99.919,
0.0008,0.0503,-5.0018,-99.715,
0.0008,0.1501,-5.0017,-99.553,
0.0007,0.2502,-5.0017,-99.407,
0.0007,0.3504,-5.0016,-99.475,
0.0006,0.4503,-5.0015,-99.445,
0.0006,0.55,-5.0015,-99.302,
0.0006,0.6502,-5.0014,-98.711,
0.0005,0.7503,-5.0013,-98.449,
0.0005,0.8502,-5.0013,-98.169,
0.0004,0.95,-5.0012,-97.348,
0.0004,1.0501,-5.0012,-96.370,
0.0005,1.1502,-5.0011,-95.190,
0.0006,1.2504,-5.001,-92.569,
0.0006,1.3503,-5.001,-88.329,
0.0005,1.4501,-5.0009,-82.457,
0.0005,1.5502,-5.0009,-72.624,
0.0005,1.6504,-5.0008,-58.313,
0.0004,1.7503,-5.0007,-41.539,
0.0004,1.8501,-5.0007,-27.202,
0.0003,1.9502,-5.0006,-17.477,
0.0003,2.0504,-5.0005,-11.537,
0.0004,2.1503,-5.0005,-8.123,
0.0005,2.25,-5.0004,-6.175,
0.0005,2.3501,-5.0004,-5.049,
0.0004,2.4502,-5.0003,-4.320,
0.0004,2.5504,-5.0002,-3.858,
0.0004,2.6497,-5.0002,-3.414,

Checksum:,26521C8F89CE01AABCA3A932CD8F755233C72DB53A4D825F378D5D0EA712C6DD
