HEADER
Header Length,86
Export file version,2.0

Warning,Some of the samples in this profile were acquired more than 0.250 mm away from the intended location. Max. deviation per axis X=0.551 mm, Y=0.065 mm, Z=0.001 mm.

Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Silicon SN 152329
Project run number,1
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,152329
Manufacturer,PTW
Model,Micro Silicon
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.857,[pA]
Reference detector,-0.89,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-22T18:20:56.9481921-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,24.07,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,PDD
Profile status,Completed successfully
Start X,0,[cm]
Start Y,0,[cm]
Start Z,-11,[cm]
Stop X,0,[cm]
Stop Y,0,[cm]
Stop Z,0.1,[cm]
Couch tilt x,0.06,[°]
Couch tilt y,0.03,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,111000,[µm]
Step size,1000,[µm]
Speed,320,[µm/s]
Integration time,3125,[ms]

Analysis result:
Analysis method,PDD standard
Calculated D10,68.084,[%]
Calculated D20,N.C.,[%]
DMax,1.589139,[cm]
Normalisation factor,0.008910,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0263,0.0031,-10.9501,-64.629,
0.0551,0.0065,-10.85,-65.057,
0.0547,0.0064,-10.75,-65.326,
0.0542,0.0063,-10.65,-65.702,
0.0536,0.0061,-10.55,-66.073,
0.0531,0.006,-10.45,-66.430,
0.0525,0.0058,-10.35,-66.685,
0.0519,0.0057,-10.2501,-67.109,
0.0514,0.0056,-10.15,-67.528,
0.0508,0.0054,-10.05,-67.835,
0.0503,0.0053,-9.95,-68.333,
0.0497,0.0051,-9.85,-68.595,
0.0492,0.005,-9.75,-68.904,
0.0486,0.0049,-9.65,-69.241,
0.0481,0.0047,-9.5501,-69.721,
0.0475,0.0046,-9.45,-69.954,
0.0469,0.0044,-9.35,-70.360,
0.0464,0.0043,-9.25,-70.656,
0.0458,0.0042,-9.15,-71.164,
0.0453,0.004,-9.05,-71.541,
0.0447,0.0039,-8.95,-71.838,
0.0442,0.0037,-8.85,-72.165,
0.0436,0.0036,-8.75,-72.523,
0.0431,0.0035,-8.65,-72.959,
0.0425,0.0033,-8.55,-73.343,
0.0419,0.0032,-8.45,-73.808,
0.0414,0.003,-8.35,-73.941,
0.0408,0.0029,-8.25,-74.487,
0.0403,0.0028,-8.1501,-74.699,
0.0397,0.0026,-8.05,-75.235,
0.0392,0.0025,-7.95,-75.594,
0.0386,0.0023,-7.8501,-75.970,
0.0381,0.0022,-7.75,-76.386,
0.0375,0.0021,-7.65,-76.766,
0.0369,0.0019,-7.55,-77.182,
0.0364,0.0018,-7.45,-77.550,
0.0358,0.0016,-7.35,-77.813,
0.0353,0.0015,-7.25,-78.262,
0.0347,0.0014,-7.15,-78.700,
0.0342,0.0012,-7.05,-79.054,
0.0336,0.0011,-6.95,-79.489,
0.033,0.0009,-6.85,-79.902,
0.0325,0.0008,-6.75,-80.316,
0.0319,0.0007,-6.65,-80.630,
0.0314,0.0005,-6.55,-81.144,
0.0308,0.0004,-6.45,-81.489,
0.0303,0.0002,-6.35,-81.920,
0.0297,0.0001,-6.25,-82.160,
0.0292,0.0001,-6.15,-82.732,
0.0288,0,-6.05,-83.084,
0.0283,0,-5.95,-83.616,
0.0278,0,-5.85,-84.033,
0.0273,0,-5.75,-84.284,
0.0268,0,-5.65,-84.635,
0.0264,0,-5.55,-85.294,
0.0259,0,-5.45,-85.578,
0.0254,0,-5.3501,-85.923,
0.0249,0,-5.25,-86.311,
