HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Silicon X SN 151916
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,151916
Manufacturer,PTW
Model,Micro Silicon X
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.861,[pA]
Reference detector,-0.892,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-21T17:40:08.5106134-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,4.15,[cm]
Field size inline,4.15,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-3.1,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,3.1,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,62000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.002126,[cm]
Calculated field width,4.091251,[cm]
Calculated penumbra left,0.372697,[cm]
Calculated penumbra right,0.461379,[cm]
Calculated symmetry,4.426,[%]
Normalisation factor,0.010628,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-3.0499,-0.0004,-5.0011,-3.154,
-2.9499,-0.0004,-5.0022,-3.624,
-2.8499,-0.0004,-5.0022,-4.065,
-2.7499,-0.0004,-5.0021,-4.656,
-2.6499,-0.0004,-5.002,-5.407,
-2.5499,-0.0004,-5.002,-6.547,
-2.4498,-0.0005,-5.0019,-8.276,
-2.3499,-0.0005,-5.0018,-11.544,
-2.2499,-0.0005,-5.0018,-17.779,
-2.1498,-0.0005,-5.0017,-30.129,
-2.0499,-0.0005,-5.0016,-49.586,
-1.95,-0.0005,-5.0016,-68.860,
-1.8499,-0.0005,-5.0015,-81.141,
-1.7499,-0.0006,-5.0014,-88.338,
-1.6498,-0.0006,-5.0014,-91.918,
-1.5499,-0.0006,-5.0013,-94.287,
-1.45,-0.0006,-5.0012,-95.647,
-1.3499,-0.0006,-5.0012,-96.473,
-1.2499,-0.0006,-5.0011,-96.995,
-1.1498,-0.0006,-5.001,-97.414,
-1.0499,-0.0007,-5.001,-97.909,
-0.9499,-0.0007,-5.0009,-98.141,
-0.8498,-0.0007,-5.0008,-98.329,
-0.7499,-0.0007,-5.0007,-99.043,
-0.6498,-0.0007,-5.0007,-99.396,
-0.5498,-0.0007,-5.0006,-99.351,
-0.4498,-0.0007,-5.0005,-99.557,
-0.3499,-0.0008,-5.0005,-99.807,
-0.2499,-0.0008,-5.0004,-100.000,
-0.1498,-0.0008,-5.0003,-99.814,
-0.0499,-0.0008,-5.0003,-99.635,
0.0501,-0.0008,-5.0002,-99.579,
0.1502,-0.0008,-5.0001,-99.682,
0.2502,-0.0008,-5.0001,-99.099,
0.3501,-0.0008,-5.0001,-99.314,
0.4502,-0.0008,-5.0001,-99.245,
0.5501,-0.0008,-5.0001,-98.927,
0.6502,-0.0008,-5.0001,-98.627,
0.7501,-0.0007,-5.0001,-98.549,
0.8502,-0.0007,-5.0001,-97.830,
0.9501,-0.0007,-5.0001,-97.790,
1.0502,-0.0007,-5.0001,-97.465,
1.1501,-0.0007,-5.0001,-97.308,
1.2502,-0.0007,-5.0001,-96.487,
1.3501,-0.0006,-5.0001,-95.425,
1.4502,-0.0006,-5.0001,-94.570,
1.5501,-0.0006,-5.0001,-92.368,
1.6502,-0.0006,-5.0001,-89.877,
1.7501,-0.0006,-5.0001,-84.783,
1.8501,-0.0006,-5.0001,-76.339,
1.9501,-0.0005,-5.0001,-64.191,
2.0501,-0.0005,-5.0001,-48.997,
2.15,-0.0005,-5.0001,-33.300,
2.2501,-0.0005,-5.0001,-21.395,
2.35,-0.0005,-5.0001,-13.661,
2.4501,-0.0004,-5.0001,-9.024,
2.55,-0.0004,-5.0001,-6.499,
2.6501,-0.0004,-5.0001,-5.200,
2.75,-0.0004,-5.0001,-4.549,
2.8501,-0.0004,-5.0001,-4.037,
2.95,-0.0004,-5.0001,-3.668,
3.0501,-0.0003,-5.0001,-3.418,

Checksum:,BB3D61E18CA95F21F0025D16A3C8E758EEB344FF0A3E3897AEFE509EEC8438A6
