HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Silicon X SN 151916
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,151916
Manufacturer,PTW
Model,Micro Silicon X
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.861,[pA]
Reference detector,-0.892,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-21T18:00:48.6240489-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,9.96,[cm]
Field size inline,9.96,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-6,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,6,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,120000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,-0.011213,[cm]
Calculated field width,9.824425,[cm]
Calculated penumbra left,0.554287,[cm]
Calculated penumbra right,0.605545,[cm]
Calculated symmetry,0.966,[%]
Normalisation factor,0.009925,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-5.9509,-0.0005,-5.0021,-5.272,
-5.8499,-0.0006,-5.0042,-5.693,
-5.7498,-0.0006,-5.0041,-6.197,
-5.6499,-0.0006,-5.004,-6.788,
-5.5498,-0.0006,-5.004,-7.513,
-5.4499,-0.0006,-5.0039,-8.519,
-5.3499,-0.0006,-5.0038,-10.243,
-5.2498,-0.0006,-5.0037,-13.006,
-5.1498,-0.0007,-5.0037,-18.630,
-5.0497,-0.0007,-5.0036,-29.479,
-4.9499,-0.0007,-5.0035,-45.760,
-4.85,-0.0007,-5.0035,-61.759,
-4.7499,-0.0007,-5.0034,-71.858,
-4.6499,-0.0007,-5.0033,-77.715,
-4.5498,-0.0007,-5.0033,-81.127,
-4.4498,-0.0008,-5.0032,-83.393,
-4.3499,-0.0008,-5.0031,-84.776,
-4.2499,-0.0008,-5.0031,-85.976,
-4.1499,-0.0008,-5.003,-86.934,
-4.0499,-0.0008,-5.0029,-87.310,
-3.9498,-0.0008,-5.0029,-88.409,
-3.8499,-0.0008,-5.0028,-88.444,
-3.7499,-0.0009,-5.0027,-89.236,
-3.6498,-0.0009,-5.0027,-89.844,
-3.5498,-0.0009,-5.0026,-90.279,
-3.4498,-0.0009,-5.0025,-90.821,
-3.3499,-0.0009,-5.0024,-91.390,
-3.2499,-0.0009,-5.0024,-92.017,
-3.1498,-0.0009,-5.0023,-92.368,
-3.0499,-0.001,-5.0022,-92.625,
-2.9499,-0.001,-5.0022,-93.247,
-2.8499,-0.001,-5.0021,-93.394,
-2.7499,-0.001,-5.002,-93.926,
-2.6499,-0.001,-5.002,-94.077,
-2.5499,-0.001,-5.0019,-94.783,
-2.4498,-0.0011,-5.0018,-94.891,
-2.3499,-0.0011,-5.0018,-95.328,
-2.2499,-0.0011,-5.0017,-95.649,
-2.1498,-0.0011,-5.0016,-96.090,
-2.0499,-0.0011,-5.0016,-96.308,
-1.95,-0.0011,-5.0015,-96.803,
-1.8499,-0.0011,-5.0014,-97.270,
-1.7499,-0.0012,-5.0014,-97.168,
-1.6498,-0.0012,-5.0013,-97.803,
-1.5499,-0.0012,-5.0012,-97.775,
-1.45,-0.0012,-5.0011,-98.196,
-1.3499,-0.0012,-5.0011,-98.049,
-1.2499,-0.0012,-5.001,-98.469,
-1.1498,-0.0012,-5.0009,-98.635,
-1.0499,-0.0013,-5.0009,-99.046,
-0.9499,-0.0013,-5.0008,-99.378,
-0.8498,-0.0013,-5.0007,-99.351,
-0.7499,-0.0013,-5.0007,-99.688,
-0.6498,-0.0013,-5.0006,-99.842,
-0.5498,-0.0013,-5.0005,-99.656,
-0.4498,-0.0013,-5.0005,-99.867,
-0.3499,-0.0014,-5.0004,-99.900,
-0.2499,-0.0014,-5.0003,-99.910,
-0.1498,-0.0014,-5.0003,-100.000,
-0.0499,-0.0014,-5.0002,-99.291,
0.0501,-0.0014,-5.0001,-99.423,
0.1502,-0.0014,-5.0001,-99.242,
0.2502,-0.0014,-5,-99.175,
0.3501,-0.0014,-5,-99.200,
0.4502,-0.0014,-5,-99.420,
0.5501,-0.0014,-5,-99.295,
0.6502,-0.0014,-5,-99.114,
0.7501,-0.0013,-5,-98.874,
0.8502,-0.0013,-5,-98.894,
0.9501,-0.0013,-5,-98.621,
1.0502,-0.0013,-5,-98.578,
1.1501,-0.0013,-5,-98.474,
1.2502,-0.0013,-5,-98.028,
1.3501,-0.0012,-5,-98.004,
1.4502,-0.0012,-5,-97.736,
1.5501,-0.0012,-5,-97.628,
1.6502,-0.0012,-5,-97.598,
1.7501,-0.0012,-5,-97.160,
1.8501,-0.0012,-5,-96.971,
1.9501,-0.0011,-5,-96.735,
2.0501,-0.0011,-5,-96.521,
2.15,-0.0011,-5,-96.123,
2.2501,-0.0011,-5,-96.130,
2.35,-0.0011,-5,-95.330,
2.4501,-0.001,-5,-95.532,
2.55,-0.001,-5,-95.034,
2.6501,-0.001,-5,-95.045,
2.75,-0.001,-5,-93.978,
2.8501,-0.001,-5.0001,-93.808,
2.95,-0.001,-5.0001,-93.644,
3.0501,-0.0009,-5.0001,-92.923,
3.15,-0.0009,-5.0001,-92.725,
3.2501,-0.0009,-5.0001,-92.291,
3.35,-0.0009,-5.0001,-91.802,
3.4501,-0.0009,-5.0001,-91.144,
3.55,-0.0008,-5.0001,-90.771,
3.6501,-0.0008,-5.0001,-90.153,
