HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Silicon X SN 151916
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,151916
Manufacturer,PTW
Model,Micro Silicon X
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.861,[pA]
Reference detector,-0.892,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-21T18:02:58.6955968-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,9.96,[cm]
Field size inline,9.96,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-6,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,6,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,120000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.024239,[cm]
Calculated field width,10.030938,[cm]
Calculated penumbra left,0.636626,[cm]
Calculated penumbra right,0.638167,[cm]
Calculated symmetry,0.501,[%]
Normalisation factor,0.009907,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0004,-5.95,-5.0021,-5.842,
0.0002,-5.8499,-5.0041,-6.288,
0.0002,-5.7499,-5.0041,-6.777,
0.0004,-5.6498,-5.0041,-7.547,
0.0006,-5.5496,-5.0041,-8.658,
0.0008,-5.4497,-5.0041,-10.819,
0.001,-5.3498,-5.0041,-14.464,
0.0012,-5.2496,-5.0041,-20.615,
0.0015,-5.1497,-5.0041,-29.731,
0.0018,-5.0499,-5.0042,-41.857,
0.0019,-4.9497,-5.0042,-55.764,
0.0021,-4.8496,-5.0042,-66.900,
0.0022,-4.7497,-5.0042,-74.328,
0.0022,-4.6498,-5.0042,-79.294,
0.0024,-4.5497,-5.0042,-81.930,
0.0025,-4.4498,-5.0042,-83.989,
0.0025,-4.35,-5.0042,-85.071,
0.0027,-4.2498,-5.0042,-86.244,
0.0028,-4.1496,-5.0042,-87.003,
0.0028,-4.0497,-5.0042,-87.541,
0.0029,-3.9499,-5.0042,-88.416,
0.0031,-3.8497,-5.0043,-89.110,
0.0032,-3.7496,-5.0043,-89.434,
0.0032,-3.6497,-5.0043,-89.927,
0.0032,-3.5498,-5.0043,-90.420,
0.0032,-3.4496,-5.0043,-90.814,
0.0032,-3.3497,-5.0043,-91.607,
0.0032,-3.2499,-5.0043,-91.872,
0.0032,-3.1497,-5.0043,-92.481,
0.0032,-3.0498,-5.0043,-92.814,
0.0032,-2.95,-5.0043,-93.008,
0.0033,-2.8498,-5.0043,-93.777,
0.0031,-2.7497,-5.0043,-94.108,
0.0029,-2.6498,-5.0044,-94.113,
0.0029,-2.5499,-5.0044,-94.682,
0.0029,-2.4498,-5.0044,-94.967,
0.0029,-2.3496,-5.0044,-95.584,
0.0029,-2.2497,-5.0044,-95.482,
0.0029,-2.1499,-5.0044,-95.754,
0.0029,-2.0497,-5.0044,-96.021,
0.0029,-1.9498,-5.0044,-96.668,
0.0029,-1.85,-5.0044,-96.607,
0.0029,-1.7498,-5.0044,-96.803,
0.0031,-1.6496,-5.0044,-97.217,
0.0033,-1.5497,-5.0044,-97.516,
0.0033,-1.4498,-5.0044,-97.578,
0.0033,-1.3497,-5.0045,-97.800,
0.0033,-1.2498,-5.0045,-98.232,
0.0033,-1.1499,-5.0045,-98.282,
0.0033,-1.0498,-5.0045,-98.522,
0.0033,-0.9498,-5.0044,-99.116,
0.0032,-0.8496,-5.0044,-99.094,
0.0032,-0.7497,-5.0043,-98.976,
0.0032,-0.65,-5.0042,-99.124,
0.0031,-0.5499,-5.0042,-99.029,
0.0031,-0.4497,-5.0041,-99.194,
0.003,-0.3496,-5.0041,-99.192,
0.003,-0.2497,-5.004,-99.373,
0.003,-0.1499,-5.0039,-99.532,
0.0029,-0.0497,-5.0039,-100.000,
0.0029,0.0504,-5.0038,-99.496,
0.0028,0.1503,-5.0038,-99.521,
0.0028,0.2501,-5.0037,-99.241,
0.0025,0.3502,-5.0036,-99.289,
0.0023,0.4503,-5.0036,-99.407,
0.0023,0.5502,-5.0035,-98.896,
0.0023,0.65,-5.0034,-98.996,
0.0022,0.7501,-5.0034,-99.181,
0.0022,0.8503,-5.0033,-98.699,
0.0021,0.9504,-5.0033,-98.824,
0.0021,1.0503,-5.0032,-98.473,
0.0021,1.1501,-5.0031,-98.167,
0.002,1.2503,-5.0031,-98.060,
0.002,1.3504,-5.003,-98.033,
0.0019,1.4503,-5.003,-97.477,
0.0019,1.5501,-5.0029,-97.769,
0.0019,1.6503,-5.0028,-97.315,
0.002,1.7504,-5.0028,-97.498,
0.0021,1.8503,-5.0027,-97.092,
