HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Silicon X SN 151916
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,151916
Manufacturer,PTW
Model,Micro Silicon X
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.861,[pA]
Reference detector,-0.892,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-21T18:27:05.0498634-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,19.92,[cm]
Field size inline,19.92,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-11,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,11,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,220000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.015464,[cm]
Calculated field width,19.683485,[cm]
Calculated penumbra left,3.279641,[cm]
Calculated penumbra right,7.056503,[cm]
Calculated symmetry,0.868,[%]
Normalisation factor,0.009516,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-10.9508,-0.0016,-5.0022,-6.464,
-10.85,-0.0021,-5.0044,-6.882,
-10.75,-0.002,-5.0046,-7.144,
-10.6499,-0.0019,-5.0048,-7.679,
-10.5499,-0.0018,-5.005,-8.260,
-10.45,-0.0018,-5.0052,-9.013,
-10.35,-0.0017,-5.0054,-10.261,
-10.25,-0.0016,-5.0055,-12.582,
-10.15,-0.0015,-5.0057,-17.268,
-10.05,-0.0014,-5.0059,-25.517,
-9.95,-0.0013,-5.0061,-37.154,
-9.85,-0.0013,-5.0063,-48.241,
-9.75,-0.0012,-5.0065,-55.657,
-9.65,-0.0011,-5.0067,-60.766,
-9.5499,-0.001,-5.0068,-63.809,
-9.4499,-0.0009,-5.007,-66.003,
-9.3499,-0.0009,-5.0072,-67.588,
-9.2499,-0.0008,-5.0074,-68.581,
-9.1498,-0.0007,-5.0075,-69.387,
-9.0499,-0.0007,-5.0075,-69.910,
-8.9499,-0.0007,-5.0074,-70.593,
-8.8498,-0.0007,-5.0073,-71.398,
-8.7499,-0.0007,-5.0073,-71.659,
-8.6499,-0.0008,-5.0072,-72.288,
-8.5498,-0.0008,-5.0071,-72.790,
-8.4499,-0.0008,-5.0071,-73.244,
-8.3498,-0.0008,-5.007,-73.647,
-8.2499,-0.0008,-5.0069,-74.148,
-8.15,-0.0008,-5.0069,-74.532,
-8.05,-0.0008,-5.0068,-75.127,
-7.9499,-0.0009,-5.0067,-75.522,
-7.8499,-0.0009,-5.0067,-76.062,
-7.7499,-0.0009,-5.0066,-76.434,
-7.6499,-0.0009,-5.0065,-76.876,
-7.5498,-0.0009,-5.0064,-77.199,
-7.4498,-0.0009,-5.0064,-77.781,
-7.3497,-0.0009,-5.0063,-78.098,
-7.2499,-0.001,-5.0062,-78.572,
-7.1499,-0.001,-5.0062,-78.984,
-7.0498,-0.001,-5.0061,-79.231,
-6.9498,-0.001,-5.006,-79.752,
-6.8498,-0.001,-5.006,-79.897,
-6.7499,-0.001,-5.0059,-80.716,
-6.6499,-0.001,-5.0058,-81.079,
-6.5498,-0.0011,-5.0058,-81.552,
-6.4499,-0.0011,-5.0057,-81.607,
-6.3499,-0.0011,-5.0056,-82.174,
