HEADER
Header Length,86
Export file version,2.0

Warning,Some of the samples in this profile were acquired more than 0.250 mm away from the intended location. Max. deviation per axis X=0.560 mm, Y=0.065 mm, Z=0.001 mm.

Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Silicon X SN 151916
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,151916
Manufacturer,PTW
Model,Micro Silicon X
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.861,[pA]
Reference detector,-0.892,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-21T18:37:07.3646305-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,19.92,[cm]
Field size inline,19.92,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,PDD
Profile status,Completed successfully
Start X,0,[cm]
Start Y,0,[cm]
Start Z,-11,[cm]
Stop X,0,[cm]
Stop Y,0,[cm]
Stop Z,0.1,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,111000,[µm]
Step size,1000,[µm]
Speed,320,[µm/s]
Integration time,3125,[ms]

Analysis result:
Analysis method,PDD standard
Calculated D10,66.463,[%]
Calculated D20,N.C.,[%]
DMax,1.566678,[cm]
Normalisation factor,0.008263,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.0271,0.0031,-10.9501,-63.028,
0.056,0.0065,-10.85,-63.407,
0.056,0.0064,-10.75,-63.885,
0.0553,0.0062,-10.65,-64.127,
0.0546,0.0061,-10.55,-64.553,
0.0539,0.006,-10.45,-64.850,
0.0532,0.0058,-10.35,-65.183,
0.0526,0.0057,-10.2501,-65.439,
0.052,0.0055,-10.15,-66.054,
0.0515,0.0054,-10.05,-66.233,
0.0509,0.0053,-9.95,-66.692,
0.0504,0.0051,-9.85,-67.007,
0.0498,0.005,-9.75,-67.417,
0.0493,0.0049,-9.65,-67.747,
0.0487,0.0047,-9.5501,-68.021,
0.0482,0.0046,-9.45,-68.436,
0.0476,0.0044,-9.35,-68.794,
0.047,0.0043,-9.25,-69.196,
0.0465,0.0042,-9.15,-69.666,
0.0459,0.004,-9.05,-69.927,
0.0454,0.0039,-8.95,-70.416,
0.0448,0.0037,-8.85,-70.626,
0.0443,0.0036,-8.75,-71.196,
0.0437,0.0035,-8.65,-71.483,
0.0432,0.0033,-8.55,-71.896,
0.0426,0.0032,-8.45,-72.102,
0.042,0.003,-8.35,-72.644,
0.0415,0.0029,-8.25,-73.024,
0.0409,0.0028,-8.1501,-73.573,
0.0404,0.0026,-8.05,-73.815,
0.0398,0.0025,-7.95,-74.281,
0.0393,0.0024,-7.8501,-74.597,
0.0387,0.0022,-7.75,-75.071,
0.0381,0.0021,-7.65,-75.497,
0.0376,0.0019,-7.55,-75.928,
0.037,0.0018,-7.45,-76.220,
0.0365,0.0017,-7.35,-76.538,
0.0359,0.0015,-7.25,-77.125,
0.0354,0.0014,-7.15,-77.455,
0.0348,0.0012,-7.05,-77.690,
0.0343,0.0011,-6.95,-78.105,
0.0337,0.001,-6.85,-78.689,
0.0331,0.0008,-6.75,-79.092,
0.0326,0.0007,-6.65,-79.441,
0.032,0.0005,-6.55,-79.767,
