HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Silicon X SN 151916
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,151916
Manufacturer,PTW
Model,Micro Silicon X
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.861,[pA]
Reference detector,-0.892,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-21T18:13:15.3333114-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,14.94,[cm]
Field size inline,14.94,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Crossline
Profile status,Completed successfully
Start X,-8.5,[cm]
Start Y,0,[cm]
Start Z,-5,[cm]
Stop X,8.5,[cm]
Stop Y,0,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,170000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.005414,[cm]
Calculated field width,14.729822,[cm]
Calculated penumbra left,1.377270,[cm]
Calculated penumbra right,1.279347,[cm]
Calculated symmetry,1.129,[%]
Normalisation factor,0.009661,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-8.4515,-0.0008,-5.003,-5.997,
-8.3498,-0.0008,-5.0058,-6.442,
-8.2499,-0.0008,-5.0057,-6.766,
-8.1499,-0.0008,-5.0057,-7.231,
-8.0498,-0.0008,-5.0056,-7.875,
-7.9499,-0.0009,-5.0055,-8.651,
-7.8499,-0.0009,-5.0055,-9.913,
-7.7499,-0.0009,-5.0054,-12.172,
-7.6499,-0.0009,-5.0053,-16.564,
-7.5498,-0.0009,-5.0052,-25.019,
-7.4498,-0.0009,-5.0052,-37.835,
-7.3497,-0.0009,-5.0051,-51.320,
-7.2499,-0.001,-5.005,-60.719,
-7.1499,-0.001,-5.005,-67.407,
-7.0498,-0.001,-5.0049,-71.164,
-6.9499,-0.001,-5.0048,-73.533,
-6.8498,-0.001,-5.0048,-75.171,
-6.7499,-0.001,-5.0047,-76.229,
-6.6499,-0.001,-5.0046,-77.456,
-6.5498,-0.0011,-5.0046,-78.238,
-6.4499,-0.0011,-5.0045,-79.090,
-6.3499,-0.0011,-5.0044,-79.683,
-6.2499,-0.0011,-5.0044,-79.870,
-6.1499,-0.0011,-5.0043,-80.595,
-6.0498,-0.0011,-5.0042,-81.255,
-5.9499,-0.0011,-5.0042,-81.729,
-5.8499,-0.0012,-5.0041,-82.229,
-5.7498,-0.0012,-5.004,-82.406,
-5.6499,-0.0012,-5.004,-83.403,
-5.5498,-0.0012,-5.0039,-83.728,
-5.4499,-0.0012,-5.0038,-84.503,
-5.3499,-0.0012,-5.0038,-84.745,
-5.2498,-0.0012,-5.0037,-85.176,
-5.1498,-0.0013,-5.0036,-85.681,
-5.0497,-0.0013,-5.0036,-86.163,
-4.9499,-0.0013,-5.0035,-86.534,
-4.85,-0.0013,-5.0034,-86.977,
-4.7499,-0.0013,-5.0034,-87.317,
-4.6499,-0.0013,-5.0033,-87.946,
-4.5498,-0.0013,-5.0032,-88.551,
-4.4498,-0.0014,-5.0032,-88.832,
-4.3499,-0.0014,-5.0031,-89.137,
-4.2499,-0.0014,-5.003,-89.337,
-4.1499,-0.0014,-5.003,-89.890,
-4.0499,-0.0014,-5.0029,-90.335,
-3.9498,-0.0014,-5.0028,-90.632,
-3.8499,-0.0014,-5.0028,-90.749,
-3.7499,-0.0015,-5.0027,-91.316,
-3.6498,-0.0015,-5.0026,-91.727,
-3.5498,-0.0015,-5.0025,-92.268,
-3.4498,-0.0015,-5.0025,-92.423,
-3.3499,-0.0015,-5.0024,-92.684,
-3.2499,-0.0015,-5.0023,-92.956,
-3.1498,-0.0015,-5.0023,-93.572,
-3.0499,-0.0016,-5.0022,-93.657,
-2.9499,-0.0016,-5.0021,-94.096,
-2.8499,-0.0016,-5.0021,-94.562,
-2.7499,-0.0016,-5.002,-94.688,
-2.6499,-0.0016,-5.0019,-94.885,
-2.5499,-0.0016,-5.0019,-95.177,
-2.4498,-0.0017,-5.0018,-95.623,
-2.3499,-0.0017,-5.0017,-95.847,
-2.2499,-0.0017,-5.0017,-96.095,
-2.1498,-0.0017,-5.0016,-96.614,
-2.0499,-0.0017,-5.0015,-96.651,
-1.95,-0.0017,-5.0015,-97.086,
-1.8499,-0.0017,-5.0014,-97.538,
-1.7499,-0.0018,-5.0013,-97.394,
-1.6498,-0.0018,-5.0013,-97.893,
-1.5499,-0.0018,-5.0012,-97.906,
-1.45,-0.0018,-5.0011,-97.698,
-1.3499,-0.0018,-5.0011,-98.406,
