HEADER
Header Length,87
Export file version,2.0


Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Silicon X SN 151916
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,151916
Manufacturer,PTW
Model,Micro Silicon X
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.861,[pA]
Reference detector,-0.892,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-21T17:41:16.7613345-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,4.15,[cm]
Field size inline,4.15,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,Inline
Profile status,Completed successfully
Start X,0,[cm]
Start Y,-3.1,[cm]
Start Z,-5,[cm]
Stop X,0,[cm]
Stop Y,3.1,[cm]
Stop Z,-5,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,62000,[µm]
Step size,1000,[µm]
Speed,1050,[µm/s]
Integration time,953,[ms]

Analysis result:
Analysis method,Max value
Calculated centre,0.063809,[cm]
Calculated field width,4.159915,[cm]
Calculated penumbra left,0.400432,[cm]
Calculated penumbra right,0.372262,[cm]
Calculated symmetry,1.209,[%]
Normalisation factor,0.010659,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
-0.0007,-3.0498,-5.0013,-3.149,
0.0002,-2.95,-5.0025,-3.392,
0.0003,-2.8498,-5.0025,-3.809,
0.0005,-2.7497,-5.0025,-4.342,
0.0007,-2.6498,-5.0026,-4.946,
0.0007,-2.5499,-5.0026,-5.912,
0.0007,-2.4498,-5.0026,-7.515,
0.0007,-2.3496,-5.0026,-10.480,
0.0009,-2.2497,-5.0026,-16.483,
0.0011,-2.1499,-5.0026,-26.937,
0.0011,-2.0497,-5.0026,-43.575,
0.0011,-1.9498,-5.0026,-62.706,
0.0011,-1.85,-5.0026,-77.026,
0.0011,-1.7498,-5.0026,-85.712,
0.0011,-1.6496,-5.0026,-90.934,
0.0013,-1.5497,-5.0026,-93.315,
0.0014,-1.4498,-5.0027,-94.923,
0.0014,-1.3497,-5.0027,-96.097,
0.0014,-1.2498,-5.0027,-96.660,
0.0016,-1.1499,-5.0027,-97.013,
0.0017,-1.0498,-5.0027,-97.964,
0.0017,-0.9498,-5.0026,-98.333,
0.0016,-0.8496,-5.0026,-98.570,
0.0016,-0.7497,-5.0025,-98.819,
0.0015,-0.65,-5.0024,-98.707,
0.0015,-0.5499,-5.0024,-99.288,
0.0016,-0.4497,-5.0023,-99.668,
0.0017,-0.3496,-5.0023,-99.775,
0.0017,-0.2497,-5.0022,-99.846,
0.0016,-0.1499,-5.0021,-99.979,
0.0016,-0.0497,-5.0021,-100.000,
0.0016,0.0504,-5.002,-99.902,
0.0015,0.1503,-5.002,-99.618,
0.0015,0.2501,-5.0019,-99.624,
0.0014,0.3502,-5.0018,-99.555,
0.0014,0.4503,-5.0018,-99.472,
0.0014,0.5502,-5.0017,-99.445,
0.0013,0.65,-5.0016,-99.177,
0.0013,0.7501,-5.0016,-99.083,
0.0012,0.8503,-5.0015,-98.543,
0.0012,0.9504,-5.0015,-98.762,
0.0012,1.0503,-5.0014,-98.235,
0.0011,1.1501,-5.0013,-98.000,
0.0011,1.2503,-5.0013,-97.333,
0.001,1.3504,-5.0012,-96.652,
0.001,1.4503,-5.0012,-96.378,
0.0009,1.5501,-5.0011,-95.350,
0.0009,1.6503,-5.001,-94.210,
0.0009,1.7504,-5.001,-92.663,
0.0008,1.8503,-5.0009,-88.982,
0.0008,1.95,-5.0009,-81.403,
0.0007,2.0502,-5.0008,-68.449,
0.0009,2.1503,-5.0007,-48.712,
0.001,2.2502,-5.0007,-30.030,
0.0009,2.35,-5.0006,-17.958,
0.0009,2.4501,-5.0005,-11.266,
0.0009,2.5503,-5.0005,-7.987,
0.0008,2.6504,-5.0004,-6.239,
0.0006,2.7503,-5.0004,-5.176,
0.0004,2.8501,-5.0003,-4.435,
0.0004,2.9502,-5.0002,-3.927,
0.0003,3.0497,-5.0002,-3.516,

Checksum:,E91230B1EB4B47F58DE404F32DBAAC09E0D0D4D89F74FA75DFA46B4A139C59D5
