HEADER
Header Length,86
Export file version,2.0

Warning,Some of the samples in this profile were acquired more than 0.250 mm away from the intended location. Max. deviation per axis X=0.559 mm, Y=0.065 mm, Z=0.001 mm.

Export settings:
Normalise,Yes
For TPS,No
Smoothing level,None

Units:
length,[cm]
amperage,[pA]

Project:
Project,Micro Silicon X SN 151916
Project run number,2
Project run note,

Irradiation unit:
Name,VCU MRIdian
Manufacturer,ViewRay
Model,MRIdian
Source-isocentre distance,90,[cm]

Thales:
Control unit UID,00-3B-00-43-4B-56-50-11-20-37-30-53
Electrometer UID,00-4E-00-36-58-4B-50-0D-20-34-34-41
Water phantom UID,4A-B3-52-04-00-00-00-0A

Field detector:
Serial number,151916
Manufacturer,PTW
Model,Micro Silicon X
Bias voltage,0,[V]

Reference detector:
Serial number,XMC213192
Manufacturer,Standard Imaging
Model,A28MR Ref
Bias voltage,-300,[V]

Zeroing offsets:
Field detector,-0.861,[pA]
Reference detector,-0.892,[pA]

Profile settings:
Measurement mode,Continuous
Creation time,2023-01-21T19:10:36.7229936-05:00
SSD,85,[cm]
Gantry angle,0,[°]
Field size crossline,27.2,[cm]
Field size inline,24.07,[cm]
Beam quality,6,[MV]
Flattening Filter,FFF
Time to wait prior to sampling,0,[s]

Profile:
Profile type,PDD
Profile status,Aborted
Start X,0,[cm]
Start Y,0,[cm]
Start Z,-11,[cm]
Stop X,0,[cm]
Stop Y,0,[cm]
Stop Z,0.1,[cm]
Couch tilt x,0.08,[°]
Couch tilt y,0.01,[°]

Region count,1

Region 1 Start,0,[µm]
Region 1 Stop,111000,[µm]
Step size,1000,[µm]
Speed,320,[µm/s]
Integration time,3125,[ms]

Analysis result:
Analysis method,PDD standard
Calculated D10,N.C.,[%]
Calculated D20,N.C.,[%]
DMax,N.C.,[cm]
Normalisation factor,N.C.,


MEASUREMENT DATA

X [cm],Y [cm],Z [cm],Normalised dose [%],
0.027,0.0037,-10.9501,-7836.158,
0.0559,0.0065,-10.85,-7869.189,
0.0554,0.0064,-10.75,-7926.469,
0.0548,0.0062,-10.65,-7962.379,
0.0543,0.0061,-10.55,-8001.537,
0.0537,0.006,-10.45,-8047.442,
0.0532,0.0058,-10.35,-8085.376,
0.0526,0.0057,-10.2501,-8134.229,
0.052,0.0055,-10.15,-8182.634,
0.0515,0.0054,-10.05,-8212.304,
0.0509,0.0053,-9.95,-8266.450,
0.0504,0.0051,-9.85,-8317.414,
0.0498,0.005,-9.75,-8358.723,
0.0493,0.0049,-9.65,-8405.002,
0.0487,0.0047,-9.5501,-8448.456,
0.0482,0.0046,-9.45,-8496.600,
0.0476,0.0044,-9.35,-8527.015,
0.047,0.0043,-9.25,-8571.328,
0.0465,0.0042,-9.15,-8627.005,
0.0459,0.004,-9.05,-8663.588,
0.0454,0.0039,-8.95,-8707.606,
0.0448,0.0037,-8.85,-8748.652,
0.0443,0.0036,-8.75,-8807.641,
0.0437,0.0035,-8.65,-8847.547,
0.0432,0.0033,-8.55,-8890.544,
0.0426,0.0032,-8.45,-8934.910,
0.042,0.003,-8.35,-8988.514,
0.0415,0.0029,-8.25,-9017.925,
0.0409,0.0028,-8.1501,-9088.349,
0.0404,0.0026,-8.05,-9124.000,
0.0398,0.0025,-7.95,-9163.714,
0.0393,0.0024,-7.8501,-9225.370,
0.0387,0.0022,-7.75,-9259.382,
0.0381,0.0021,-7.65,-9323.568,
0.0376,0.0019,-7.55,-9377.917,
0.037,0.0018,-7.45,-9400.804,
0.0365,0.0017,-7.35,-9474.923,
0.0359,0.0015,-7.25,-9515.644,
0.0354,0.0014,-7.15,-9572.535,
0.0348,0.0012,-7.05,-9591.985,
0.0343,0.0011,-6.95,-9642.921,
0.0337,0.001,-6.85,-9716.837,
0.0331,0.0008,-6.75,-9758.105,
0.0326,0.0007,-6.65,-9794.943,
0.032,0.0005,-6.55,-9853.628,
0.0315,0.0004,-6.45,-9908.597,
0.0309,0.0003,-6.35,-9962.990,
0.0304,0.0001,-6.25,-10003.685,
0.0298,0,-6.15,-10046.334,
0.0293,-0.0001,-6.05,-10108.011,
0.0288,-0.0001,-5.95,-10151.241,
0.0283,-0.0001,-5.85,-10211.715,
0.0279,-0.0002,-5.75,-10262.336,
0.0274,-0.0002,-5.65,-10283.985,
0.0269,-0.0002,-5.55,-10338.585,
0.0264,-0.0002,-5.45,-10397.897,
0.026,-0.0002,-5.3501,-10455.760,
0.0255,-0.0002,-5.25,-10500.535,
0.025,-0.0002,-5.15,-10558.164,
0.0245,-0.0002,-5.05,-10608.234,
0.0241,-0.0002,-4.95,-10661.709,
0.0236,-0.0002,-4.85,-10710.686,
0.0231,-0.0002,-4.7501,-10760.076,
0.0226,-0.0002,-4.65,-10810.866,
0.0221,-0.0002,-4.55,-10863.520,
0.0217,-0.0003,-4.45,-10926.665,
0.0212,-0.0003,-4.35,-10968.713,
0.0207,-0.0003,-4.25,-11038.662,
0.0202,-0.0003,-4.15,-11078.444,
0.0198,-0.0003,-4.05,-11105.679,
0.0193,-0.0003,-3.95,-11171.562,
0.0188,-0.0003,-3.85,-11221.483,
0.0183,-0.0003,-3.75,-11280.817,
0.0179,-0.0003,-3.65,-11328.305,
0.0174,-0.0003,-3.55,-11381.860,
0.0169,-0.0003,-3.45,-11429.986,
0.0164,-0.0003,-3.35,-11473.845,
0.0159,-0.0004,-3.25,-11541.685,

Checksum:,1FAEC15DF457C84F967D0AAFF848B7D48CD92AFBA1C2756265DF1AC5309E2492
